GEO.id,GEO.id2,GEO.display-label,EST_VC02,EST_VC08,EST_VC09,EST_VC10,EST_VC11,EST_VC12,EST_VC13,EST_VC14,EST_VC59,EST_VC60,EST_VC61,EST_VC62
Id,Id2,Geography,Estimate; HOUSING OCCUPANCY - Total housing units,"Estimate; UNITS IN STRUCTURE - 1-unit, detached","Estimate; UNITS IN STRUCTURE - 1-unit, attached",Estimate; UNITS IN STRUCTURE - 2 units,Estimate; UNITS IN STRUCTURE - 3 or 4 units,Estimate; UNITS IN STRUCTURE - 5 to 9 units,Estimate; UNITS IN STRUCTURE - 10 to 19 units,Estimate; UNITS IN STRUCTURE - 20 or more units,Estimate; Occupied housing units - VEHICLES AVAILABLE - No vehicles available,Estimate; Occupied housing units - VEHICLES AVAILABLE - 1 vehicle available,Estimate; Occupied housing units - VEHICLES AVAILABLE - 2 vehicles available,Estimate; Occupied housing units - VEHICLES AVAILABLE - 3 or more vehicles available
3100000US10140,10140,"Aberdeen, WA Micro Area",33868,22272,1098,629,1705,1212,842,941,2875,8483,9408,7850
3100000US10180,10180,"Abilene, TX Metro Area",67300,47878,1616,1774,3345,2002,1357,2582,2356,21689,25837,9968
3100000US10300,10300,"Adrian, MI Micro Area",42681,31903,1316,1917,1474,1329,1152,733,2273,10950,16140,8373
3100000US10420,10420,"Akron, OH Metro Area",306654,215083,13014,16680,9918,15581,11249,17798,19248,97567,109326,54696
3100000US10500,10500,"Albany, GA Metro Area",68813,43287,1628,5884,2932,3995,1306,642,6536,20069,21296,13257
3100000US10540,10540,"Albany-Lebanon, OR Micro Area",46033,30076,1387,1865,2577,1439,1336,976,3160,12620,15598,11290
3100000US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",378061,212783,12839,54308,30807,19785,12862,17639,30182,120392,132665,54666
3100000US10700,10700,"Albertville, AL Micro Area",37951,26599,397,975,849,555,327,210,1899,9615,12497,8386
3100000US10740,10740,"Albuquerque, NM Metro Area",347485,224568,17092,5654,17399,12404,10608,25280,18459,108533,124096,67394
3100000US10780,10780,"Alexandria, LA Metro Area",63782,45932,1252,2954,1689,1994,1011,870,4621,19825,22019,9081
3100000US10880,10880,"Allegan, MI Micro Area",47908,34657,1951,763,868,596,890,696,1596,11797,16434,11815
3100000US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",329955,185305,70555,16530,14493,11655,9173,12106,22691,93638,121675,67788
3100000US11020,11020,"Altoona, PA Metro Area",56115,40337,1516,3514,2050,1452,1140,2267,5143,15870,19332,10183
3100000US11100,11100,"Amarillo, TX Metro Area",97276,68048,2747,3771,2291,3969,4220,4901,3760,31267,36271,15992
3100000US11180,11180,"Ames, IA Metro Area",33909,18574,1807,1300,1595,2263,3283,3481,1492,9860,13202,7355
3100000US11260,11260,"Anchorage, AK Metro Area",138654,75280,15096,7816,12668,8599,5073,8267,7604,39285,50776,26227
3100000US11300,11300,"Anderson, IN Metro Area",59249,44239,2305,2648,1814,2065,1366,1401,4453,18181,18278,11063
3100000US11340,11340,"Anderson, SC Metro Area",81023,55275,490,1421,2208,2245,1088,1084,4976,19674,26434,18222
3100000US11460,11460,"Ann Arbor, MI Metro Area",146380,80822,8215,5468,7406,16598,11895,10061,8482,48978,53823,22769
3100000US11500,11500,"Anniston-Oxford, AL Metro Area",53096,35282,1180,2217,1250,1709,2001,1118,2378,15376,18016,10733
3100000US11540,11540,"Appleton, WI Metro Area",89477,64867,4335,6371,1312,3710,3993,3041,3831,26488,36096,19293
3100000US11700,11700,"Asheville, NC Metro Area",194493,129515,4867,4516,6069,7189,2853,4830,10507,51021,68705,35977
3100000US11780,11780,"Ashtabula, OH Micro Area",45558,34162,759,2137,1554,604,1110,2001,3547,11998,15681,8532
3100000US11980,11980,"Athens, TX Micro Area",37913,23836,324,481,695,1070,17,255,1839,10227,12007,5326
3100000US12020,12020,"Athens-Clarke County, GA Metro Area",79835,45461,3427,3885,4060,3379,4605,4967,3895,23933,24618,16984
3100000US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2056264,1380705,90906,34661,55702,146954,145925,129869,114656,596538,742109,373687
3100000US12100,12100,"Atlantic City, NJ Metro Area",124790,71083,9890,6869,5296,7435,6059,14727,13994,36095,36837,16578
3100000US12180,12180,"Auburn, NY Micro Area",35889,23581,440,3668,2139,899,505,779,2902,10253,12363,6300
3100000US12220,12220,"Auburn-Opelika, AL Metro Area",58666,28777,2019,3180,1624,2544,3071,4115,3807,17375,19107,11934
3100000US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",224159,149211,8565,3933,8991,10437,3586,3634,14884,65643,72001,43564
3100000US12300,12300,"Augusta-Waterville, ME Micro Area",59366,39558,550,4273,3314,4157,1595,986,4696,16286,20709,9516
3100000US12420,12420,"Austin-Round Rock, TX Metro Area",613448,361162,16048,25238,20188,26255,51376,76929,28794,200101,238373,93012
3100000US12540,12540,"Bakersfield, CA Metro Area",262651,184314,7083,8198,18075,10078,4191,8928,18015,72834,91663,55717
3100000US12580,12580,"Baltimore-Towson, MD Metro Area",1101389,498824,318086,26551,32551,59701,86961,64360,118984,321676,364424,198820
3100000US12620,12620,"Bangor, ME Metro Area",70158,44387,1073,4034,4629,2612,2005,1527,4534,19937,23643,12018
3100000US12700,12700,"Barnstable Town, MA Metro Area",154914,129174,5042,5596,4552,5000,1623,3754,4303,35516,41178,17469
3100000US12940,12940,"Baton Rouge, LA Metro Area",312025,205369,6457,3888,13173,12701,12007,17199,20812,99967,111145,47310
3100000US12980,12980,"Battle Creek, MI Metro Area",60659,44637,1090,2026,1628,2509,2458,2927,4300,18220,21284,9958
3100000US13020,13020,"Bay City, MI Metro Area",48021,36374,1041,1630,1639,1245,926,2581,3442,13946,17853,9720
3100000US13140,13140,"Beaumont-Port Arthur, TX Metro Area",160956,115363,3063,3184,4473,8255,4936,4650,9569,52144,56724,24279
