GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_EST_VC06,HC01_EST_VC20,HC02_EST_VC21,HC02_EST_VC22,HC02_EST_VC23,HC02_EST_VC24,HC02_EST_VC25,HC01_EST_VC26,HC01_EST_VC27,HC01_EST_VC30,HC01_EST_VC31,HC01_EST_VC32,HC01_EST_VC34,HC01_EST_VC35,HC02_EST_VC53,HC02_EST_VC54,HC02_EST_VC55,HC01_EST_VC69
Id,Id2,Geography,Number; Estimate; EMPLOYMENT STATUS - Population 16 years and over,Number; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed,Number; Estimate; COMMUTING TO WORK - Workers 16 years and over,"Percent; Estimate; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- drove alone","Percent; Estimate; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- carpooled",Percent; Estimate; COMMUTING TO WORK - Workers 16 years and over - Public transportation (excluding taxicab),Percent; Estimate; COMMUTING TO WORK - Workers 16 years and over - Walked,Percent; Estimate; COMMUTING TO WORK - Workers 16 years and over - Other means,Number; Estimate; COMMUTING TO WORK - Workers 16 years and over - Worked at home,Number; Estimate; COMMUTING TO WORK - Workers 16 years and over - Mean travel time to work (minutes),"Number; Estimate; OCCUPATION - Civilian employed population 16 years and over - Management, professional, and related occupations",Number; Estimate; OCCUPATION - Civilian employed population 16 years and over - Service occupations,Number; Estimate; OCCUPATION - Civilian employed population 16 years and over - Sales and office occupations,"Number; Estimate; OCCUPATION - Civilian employed population 16 years and over - Construction, extraction, maintenance and repair occupations","Number; Estimate; OCCUPATION - Civilian employed population 16 years and over - Production, transportation, and material moving occupations",Percent; Estimate; CLASS OF WORKER - Civilian employed population 16 years and over - Private wage and salary workers,Percent; Estimate; CLASS OF WORKER - Civilian employed population 16 years and over - Government workers,Percent; Estimate; CLASS OF WORKER - Civilian employed population 16 years and over - Self-employed workers in own not incorporated business,Number; Estimate; INCOME AND BENEFITS (IN 2007 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars)
3100000US10140,10140,"Aberdeen, WA Micro Area",57571,3618,28857,77.1,15.2,0.8,2.2,1.2,1013,24.5,6828,6367,6261,4074,5470,74.1,21.6,4.4,42402
3100000US10180,10180,"Abilene, TX Metro Area",124430,2192,67436,83,10.4,0.4,2,1.8,1628,16.3,19561,14329,15771,8565,7667,72.3,18.5,9.1,39369
3100000US10300,10300,"Adrian, MI Micro Area",80805,4611,45721,81.3,11.4,0.4,2.8,1,1417,27,12125,8790,11038,5404,9554,79,14.3,6.6,50240
3100000US10420,10420,"Akron, OH Metro Area",555777,26390,335010,85.7,7,1.3,2,1,9799,23.1,119676,56987,87882,26504,51846,82.5,11.8,5.4,47898
3100000US10500,10500,"Albany, GA Metro Area",124153,9142,64653,81.4,14.1,0.7,1.1,0.9,1232,20.4,19111,13472,14059,7851,11380,72.1,21.1,6.6,36402
3100000US10540,10540,"Albany-Lebanon, OR Micro Area",90369,3510,51435,77.7,9,0.1,3.1,3.1,3589,23.2,14420,7852,12749,6176,10705,78.4,13.8,7.5,44397
3100000US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",693176,22209,414547,79.6,8.9,3,3.4,1.4,15531,21.7,169337,66209,119544,28297,44757,71.3,22.8,5.6,55129
3100000US10700,10700,"Albertville, AL Micro Area",67344,1633,37232,82.5,11.9,0.5,0.9,1,1245,23.2,9110,6312,8896,4289,9402,77.2,15.9,6.8,34153
3100000US10740,10740,"Albuquerque, NM Metro Area",649511,22666,382720,78,11.9,1.6,2,2.2,16460,23.8,142741,69828,98079,40506,37777,73.9,19.5,6.4,45325
3100000US10780,10780,"Alexandria, LA Metro Area",115445,4880,61213,82.6,10.7,1.1,2.1,1.5,1150,24.5,19512,10325,17610,7409,8508,73.5,20.1,6.3,37180
3100000US10880,10880,"Allegan, MI Micro Area",86806,4476,50038,82.8,9.6,0.2,2.2,1,2103,24.7,14391,7648,10159,5991,13422,85.5,8,6.3,50730
