no ,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC15,HC01_EST_VC65,HC01_EST_VC66,HC01_EST_VC67,HC01_EST_VC68
Id,Id2,Geography,Number; Estimate; HOUSING OCCUPANCY - Total housing units,"Number; Estimate; UNITS IN STRUCTURE - 1-unit, detached","Number; Estimate; UNITS IN STRUCTURE - 1-unit, attached",Number; Estimate; UNITS IN STRUCTURE - 2 units,Number; Estimate; UNITS IN STRUCTURE - 3 or 4 units,Number; Estimate; UNITS IN STRUCTURE - 5 to 9 units,Number; Estimate; UNITS IN STRUCTURE - 10 to 19 units,Number; Estimate; UNITS IN STRUCTURE - 20 or more units,Number; Estimate; VEHICLES AVAILABLE - Occupied housing units - No vehicles available,Number; Estimate; VEHICLES AVAILABLE - Occupied housing units - 1 vehicle available,Number; Estimate; VEHICLES AVAILABLE - Occupied housing units - 2 vehicles available,Number; Estimate; VEHICLES AVAILABLE - Occupied housing units - 3 or more vehicles available
3100000US10140,10140,"Aberdeen, WA Micro Area",34311,24879,430,397,2219,832,446,851,978,8510,10557,7343
3100000US10180,10180,"Abilene, TX Metro Area",67506,48867,2415,955,1660,2559,1405,3285,3218,20497,25691,11286
3100000US10300,10300,"Adrian, MI Micro Area",42932,34151,620,1124,1055,933,882,674,1029,11736,15845,9390
3100000US10420,10420,"Akron, OH Metro Area",308144,216458,16720,14607,9797,15697,11647,16824,21066,94071,113232,53300
3100000US10500,10500,"Albany, GA Metro Area",69310,39024,1304,7880,4208,4560,1674,614,6970,21026,19730,13051
3100000US10540,10540,"Albany-Lebanon, OR Micro Area",46737,31164,1606,1695,2265,1249,1071,1807,3032,12603,16727,12082
3100000US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",379648,217294,12342,51361,28838,20867,13365,18349,32523,115414,136222,53148
3100000US10700,10700,"Albertville, AL Micro Area",38161,27562,800,1096,798,1022,58,385,2427,8818,13204,9288
3100000US10740,10740,"Albuquerque, NM Metro Area",353796,226644,19592,4807,18644,14214,14713,24345,17721,111727,124060,68956
3100000US10780,10780,"Alexandria, LA Metro Area",64924,46193,962,2028,1840,2215,1668,978,4773,21377,21434,10429
3100000US10880,10880,"Allegan, MI Micro Area",48393,36006,1526,1128,535,1613,758,565,1421,11670,16613,11304
3100000US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",333208,187703,70262,13744,15262,11881,12917,12178,23453,95567,124107,65599
3100000US11020,11020,"Altoona, PA Metro Area",56140,38796,3024,2948,2245,1839,1140,2149,4313,17345,20106,9467
3100000US11100,11100,"Amarillo, TX Metro Area",97744,68344,2149,1928,2513,3954,4586,6225,4644,31082,33063,17940
3100000US11180,11180,"Ames, IA Metro Area",34307,18120,1551,1272,1447,2431,3395,4612,1793,9601,14845,6033
3100000US11260,11260,"Anchorage, AK Metro Area",139994,75779,14443,6473,13856,9856,3418,9838,6167,39038,50740,29094
3100000US11300,11300,"Anderson, IN Metro Area",59412,44377,1404,2572,1834,1059,1078,2543,3691,17128,20364,10415
3100000US11340,11340,"Anderson, SC Metro Area",82303,56258,1169,2262,1692,3143,939,1331,3976,20623,27931,17586
3100000US11460,11460,"Ann Arbor, MI Metro Area",147047,82501,8845,3761,7389,14072,12073,11682,6971,47601,52765,25738
3100000US11500,11500,"Anniston-Oxford, AL Metro Area",53230,36921,913,1105,1783,1291,1204,931,3606,14151,17222,11806
3100000US11540,11540,"Appleton, WI Metro Area",90400,63978,3389,8768,1715,4029,3032,3926,4312,22333,39610,18771
3100000US11700,11700,"Asheville, NC Metro Area",198224,133206,5257,5892,5965,6115,3562,5133,9843,54520,66248,41513
3100000US11780,11780,"Ashtabula, OH Micro Area",45648,33914,992,2364,937,1019,632,1214,2667,13282,14949,7124
3100000US11980,11980,"Athens, TX Micro Area",38116,23006,340,369,993,587,202,130,989,9581,13342,5796
3100000US12020,12020,"Athens-Clarke County, GA Metro Area",81119,46803,2556,4930,2126,4959,4566,5800,5141,21925,24764,18110
3100000US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2113283,1426652,100500,35240,51314,131057,164833,130591,107527,610212,757142,392202
3100000US12100,12100,"Atlantic City, NJ Metro Area",126388,72350,11266,7571,5419,7740,6203,12621,15619,32306,39445,15827
3100000US12180,12180,"Auburn, NY Micro Area",35887,24201,779,2862,2106,643,740,892,3227,10843,11467,5931
3100000US12220,12220,"Auburn-Opelika, AL Metro Area",61045,29791,1734,3628,1581,3792,3560,2948,2775,19372,21136,12452
3100000US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",227764,149642,7101,4691,9445,11837,4205,4640,14558,65490,76708,43376
3100000US12300,12300,"Augusta-Waterville, ME Micro Area",59888,39733,408,3695,4079,2783,1375,1226,3820,16271,20278,10081
3100000US12420,12420,"Austin-Round Rock, TX Metro Area",638649,387177,18152,22601,20608,28431,49917,78729,28462,214388,248092,92656
3100000US12540,12540,"Bakersfield, CA Metro Area",269019,191604,7120,8535,19864,9867,3819,7638,17762,73778,90806,57316
3100000US12580,12580,"Baltimore-Towson, MD Metro Area",1106041,495951,326713,28955,33360,59216,82750,64849,107109,321304,366454,200788
3100000US12620,12620,"Bangor, ME Metro Area",70711,45438,957,3167,4495,3576,1755,1915,4380,19867,25473,11714
3100000US12700,12700,"Barnstable Town, MA Metro Area",155524,132102,3982,3884,4423,3674,3043,4041,4952,31207,42017,19384
3100000US12940,12940,"Baton Rouge, LA Metro Area",320384,208923,5928,4809,16627,13268,12251,16708,19918,104049,115164,48508
3100000US12980,12980,"Battle Creek, MI Metro Area",60697,44415,862,2556,2233,1508,3169,2797,3728,19715,20607,10096
3100000US13020,13020,"Bay City, MI Metro Area",48134,37709,1265,589,1400,1681,1081,2177,2800,15080,17583,8524
3100000US13140,13140,"Beaumont-Port Arthur, TX Metro Area",162493,119403,3943,2140,4388,6379,5903,6230,11634,47396,57378,25449
3100000US13180,13180,"Beaver Dam, WI Micro Area",36607,24952,1406,1980,1300,2787,1603,1076,1396,9883,14731,8225
3100000US13220,13220,"Beckley, WV Micro Area",36907,27334,667,161,1070,1020,223,925,2407,11315,12375,4418
3100000US13380,13380,"Bellingham, WA Metro Area",86577,52589,2092,2742,4141,4270,4740,6871,4817,26331,28097,16514
3100000US13460,13460,"Bend, OR Metro Area",76007,55591,2027,3429,2686,1924,1668,1619,1413,15468,29469,16272
3100000US13740,13740,"Billings, MT Metro Area",64120,43051,2308,2056,2680,2915,1941,2038,2804,16105,23629,16541
3100000US13780,13780,"Binghamton, NY Metro Area",110554,67639,1651,12243,8640,5841,2089,4264,10216,34115,38260,16676
3100000US13820,13820,"Birmingham-Hoover, AL Metro Area",498050,351721,12569,5354,11610,22624,25588,19656,28060,138722,164496,100463
3100000US13900,13900,"Bismarck, ND Metro Area",44742,25850,1912,1884,1699,2851,2458,4028,2166,12792,14671,12541
3100000US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",68313,39494,4217,1550,2662,3256,8122,1053,3988,19611,23190,15300
3100000US14020,14020,"Bloomington, IN Metro Area",82483,48383,3569,2204,4220,3997,5483,5370,3897,25571,25316,15647
3100000US14060,14060,"Bloomington-Normal, IL Metro Area",67941,41418,3237,1701,4439,4746,4687,3976,3389,21371,27210,10701
3100000US14100,14100,"Bloomsburg-Berwick, PA Micro Area",36834,25155,2038,1932,2729,526,165,719,2622,8824,12397,8760
3100000US14140,14140,"Bluefield, WV-VA Micro Area",51073,33739,1046,481,1346,2085,691,836,4272,13667,16777,7701
3100000US14260,14260,"Boise City-Nampa, ID Metro Area",236485,178183,9734,5319,10189,6239,4139,7629,8574,59980,93546,56926
3100000US14460,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",1821101,883323,94512,207569,200992,108955,87160,216713,215252,595266,616771,257460
3100000US14500,14500,"Boulder, CO Metro Area",123542,75838,10009,2522,5449,8104,5753,11636,5734,40949,44523,22850
3100000US14540,14540,"Bowling Green, KY Metro Area",51261,33499,696,2084,3106,2684,1145,1602,3079,15210,17732,9755
3100000US14580,14580,"Bozeman, MT Micro Area",37446,22440,1815,2739,4148,1530,891,1051,1004,8199,15045,9377
3100000US14660,14660,"Brainerd, MN Micro Area",65299,53957,1396,362,1136,1279,745,1705,2434,11289,16903,9375
