ntdid,name,mode,tos,exp_type,total
0001,King County Department of Transportation - Metro Transit Division,CB,PT,General Administration,4813903
0001,King County Department of Transportation - Metro Transit Division,CB,PT,Non-Vehicle Maintenance,2141446
0001,King County Department of Transportation - Metro Transit Division,CB,PT,Total,0
0001,King County Department of Transportation - Metro Transit Division,CB,PT,Vehicle Maintenance,9120955
0001,King County Department of Transportation - Metro Transit Division,CB,PT,Vehicle Operations,26112675
0001,King County Department of Transportation - Metro Transit Division,DR,PT,General Administration,21880623
0001,King County Department of Transportation - Metro Transit Division,DR,PT,Non-Vehicle Maintenance,694986
0001,King County Department of Transportation - Metro Transit Division,DR,PT,Total,122847910
0001,King County Department of Transportation - Metro Transit Division,DR,PT,Vehicle Maintenance,6991178
0001,King County Department of Transportation - Metro Transit Division,DR,PT,Vehicle Operations,31857168
0001,King County Department of Transportation - Metro Transit Division,DT,PT,General Administration,463104
0001,King County Department of Transportation - Metro Transit Division,DT,PT,Non-Vehicle Maintenance,14709
0001,King County Department of Transportation - Metro Transit Division,DT,PT,Total,2247126
0001,King County Department of Transportation - Metro Transit Division,DT,PT,Vehicle Maintenance,147968
0001,King County Department of Transportation - Metro Transit Division,DT,PT,Vehicle Operations,674258
0001,King County Department of Transportation - Metro Transit Division,LR,PT,General Administration,2508342
0001,King County Department of Transportation - Metro Transit Division,LR,PT,Non-Vehicle Maintenance,8940290
0001,King County Department of Transportation - Metro Transit Division,LR,PT,Total,0
0001,King County Department of Transportation - Metro Transit Division,LR,PT,Vehicle Maintenance,4674036
0001,King County Department of Transportation - Metro Transit Division,LR,PT,Vehicle Operations,11648296
0001,King County Department of Transportation - Metro Transit Division,MB,DO,General Administration,71391944
0001,King County Department of Transportation - Metro Transit Division,MB,DO,Non-Vehicle Maintenance,25165255
0001,King County Department of Transportation - Metro Transit Division,MB,DO,Total,431308402
0001,King County Department of Transportation - Metro Transit Division,MB,DO,Vehicle Maintenance,76461609
0001,King County Department of Transportation - Metro Transit Division,MB,DO,Vehicle Operations,258289594
0001,King County Department of Transportation - Metro Transit Division,MB,PT,General Administration,2267794
0001,King County Department of Transportation - Metro Transit Division,MB,PT,Non-Vehicle Maintenance,454443
0001,King County Department of Transportation - Metro Transit Division,MB,PT,Total,8923754
0001,King County Department of Transportation - Metro Transit Division,MB,PT,Vehicle Maintenance,653076
0001,King County Department of Transportation - Metro Transit Division,MB,PT,Vehicle Operations,5548441
0001,King County Department of Transportation - Metro Transit Division,SR,DO,General Administration,686671
0001,King County Department of Transportation - Metro Transit Division,SR,DO,Non-Vehicle Maintenance,250940
0001,King County Department of Transportation - Metro Transit Division,SR,DO,Total,3089936
0001,King County Department of Transportation - Metro Transit Division,SR,DO,Vehicle Maintenance,676406
0001,King County Department of Transportation - Metro Transit Division,SR,DO,Vehicle Operations,1475919
0001,King County Department of Transportation - Metro Transit Division,TB,DO,General Administration,9845863
0001,King County Department of Transportation - Metro Transit Division,TB,DO,Non-Vehicle Maintenance,7737512
0001,King County Department of Transportation - Metro Transit Division,TB,DO,Total,61469418
0001,King County Department of Transportation - Metro Transit Division,TB,DO,Vehicle Maintenance,11561031
0001,King County Department of Transportation - Metro Transit Division,TB,DO,Vehicle Operations,32325012
0001,King County Department of Transportation - Metro Transit Division,VP,DO,General Administration,5445661
0001,King County Department of Transportation - Metro Transit Division,VP,DO,Non-Vehicle Maintenance,63500
0001,King County Department of Transportation - Metro Transit Division,VP,DO,Total,10658554
0001,King County Department of Transportation - Metro Transit Division,VP,DO,Vehicle Maintenance,1923875
0001,King County Department of Transportation - Metro Transit Division,VP,DO,Vehicle Operations,3225518
0002,Spokane Transit Authority,DR,DO,General Administration,1649732
0002,Spokane Transit Authority,DR,DO,Non-Vehicle Maintenance,126610
0002,Spokane Transit Authority,DR,DO,Total,16554426
0002,Spokane Transit Authority,DR,DO,Vehicle Maintenance,1068935
0002,Spokane Transit Authority,DR,DO,Vehicle Operations,5431936
0002,Spokane Transit Authority,DR,PT,General Administration,333588
0002,Spokane Transit Authority,DR,PT,Non-Vehicle Maintenance,105263
0002,Spokane Transit Authority,DR,PT,Total,7534506
0002,Spokane Transit Authority,DR,PT,Vehicle Maintenance,103046
0002,Spokane Transit Authority,DR,PT,Vehicle Operations,3225356
0002,Spokane Transit Authority,MB,DO,General Administration,8536427
0002,Spokane Transit Authority,MB,DO,Non-Vehicle Maintenance,2449775
0002,Spokane Transit Authority,MB,DO,Total,44182679
0002,Spokane Transit Authority,MB,DO,Vehicle Maintenance,6294127
0002,Spokane Transit Authority,MB,DO,Vehicle Operations,26902350
0002,Spokane Transit Authority,VP,DO,General Administration,400378
0002,Spokane Transit Authority,VP,DO,Non-Vehicle Maintenance,9471
0002,Spokane Transit Authority,VP,DO,Total,821151
0002,Spokane Transit Authority,VP,DO,Vehicle Maintenance,87661
0002,Spokane Transit Authority,VP,DO,Vehicle Operations,323641
0003,Pierce County Transportation Benefit Area Authority,CB,PT,General Administration,2813505
0003,Pierce County Transportation Benefit Area Authority,CB,PT,Non-Vehicle Maintenance,994432
0003,Pierce County Transportation Benefit Area Authority,CB,PT,Total,0
0003,Pierce County Transportation Benefit Area Authority,CB,PT,Vehicle Maintenance,6686969
0003,Pierce County Transportation Benefit Area Authority,CB,PT,Vehicle Operations,22558569
0003,Pierce County Transportation Benefit Area Authority,DR,DO,General Administration,1733971
0003,Pierce County Transportation Benefit Area Authority,DR,DO,Non-Vehicle Maintenance,139899
0003,Pierce County Transportation Benefit Area Authority,DR,DO,Total,11990972
0003,Pierce County Transportation Benefit Area Authority,DR,DO,Vehicle Maintenance,335809
0003,Pierce County Transportation Benefit Area Authority,DR,DO,Vehicle Operations,3785807
0003,Pierce County Transportation Benefit Area Authority,DR,PT,General Administration,3033761
0003,Pierce County Transportation Benefit Area Authority,DR,PT,Non-Vehicle Maintenance,141905
0003,Pierce County Transportation Benefit Area Authority,DR,PT,Total,21228460
0003,Pierce County Transportation Benefit Area Authority,DR,PT,Vehicle Maintenance,1029676
0003,Pierce County Transportation Benefit Area Authority,DR,PT,Vehicle Operations,6408888
0003,Pierce County Transportation Benefit Area Authority,MB,DO,General Administration,8516679
0003,Pierce County Transportation Benefit Area Authority,MB,DO,Non-Vehicle Maintenance,2914199
0003,Pierce County Transportation Benefit Area Authority,MB,DO,Total,49166871
0003,Pierce County Transportation Benefit Area Authority,MB,DO,Vehicle Maintenance,5400056
0003,Pierce County Transportation Benefit Area Authority,MB,DO,Vehicle Operations,32335937
0003,Pierce County Transportation Benefit Area Authority,VP,DO,General Administration,1162816
0003,Pierce County Transportation Benefit Area Authority,VP,DO,Non-Vehicle Maintenance,158984
0003,Pierce County Transportation Benefit Area Authority,VP,DO,Total,4139555
0003,Pierce County Transportation Benefit Area Authority,VP,DO,Vehicle Maintenance,528243
0003,Pierce County Transportation Benefit Area Authority,VP,DO,Vehicle Operations,2289512
0005,Everett Transit,DR,DO,General Administration,1142784
0005,Everett Transit,DR,DO,Non-Vehicle Maintenance,164187
0005,Everett Transit,DR,DO,Total,10135571
0005,Everett Transit,DR,DO,Vehicle Maintenance,702104
0005,Everett Transit,DR,DO,Vehicle Operations,3135884
0005,Everett Transit,MB,DO,General Administration,3770900
0005,Everett Transit,MB,DO,Non-Vehicle Maintenance,654474
0005,Everett Transit,MB,DO,Total,13427819
0005,Everett Transit,MB,DO,Vehicle Maintenance,1632959
0005,Everett Transit,MB,DO,Vehicle Operations,7369486
0006,Yakima Transit,DR,PT,General Administration,287735
0006,Yakima Transit,DR,PT,Non-Vehicle Maintenance,55744
0006,Yakima Transit,DR,PT,Total,2553236
0006,Yakima Transit,DR,PT,Vehicle Maintenance,192243
0006,Yakima Transit,DR,PT,Vehicle Operations,740896
0006,Yakima Transit,MB,DO,General Administration,771010
0006,Yakima Transit,MB,DO,Non-Vehicle Maintenance,48652
0006,Yakima Transit,MB,DO,Total,6175199
0006,Yakima Transit,MB,DO,Vehicle Maintenance,1154278
0006,Yakima Transit,MB,DO,Vehicle Operations,4201259
0006,Yakima Transit,VP,DO,General Administration,36082
0006,Yakima Transit,VP,DO,Non-Vehicle Maintenance,7092
0006,Yakima Transit,VP,DO,Total,322558
0006,Yakima Transit,VP,DO,Vehicle Maintenance,126645
0006,Yakima Transit,VP,DO,Vehicle Operations,152739
0007,Lane Transit District,DR,PT,General Administration,891130
0007,Lane Transit District,DR,PT,Non-Vehicle Maintenance,23310
0007,Lane Transit District,DR,PT,Total,9441407
0007,Lane Transit District,DR,PT,Vehicle Maintenance,292286
0007,Lane Transit District,DR,PT,Vehicle Operations,4221890
0007,Lane Transit District,DT,PT,General Administration,1707755
0007,Lane Transit District,DT,PT,Non-Vehicle Maintenance,258035
0007,Lane Transit District,DT,PT,Total,4305354
0007,Lane Transit District,DT,PT,Vehicle Maintenance,679090
0007,Lane Transit District,DT,PT,Vehicle Operations,1660474
0007,Lane Transit District,MB,DO,General Administration,6121091
0007,Lane Transit District,MB,DO,Non-Vehicle Maintenance,913808
0007,Lane Transit District,MB,DO,Total,29195808
0007,Lane Transit District,MB,DO,Vehicle Maintenance,4624301
0007,Lane Transit District,MB,DO,Vehicle Operations,17536608
0007,Lane Transit District,MB,PT,General Administration,15605
0007,Lane Transit District,MB,PT,Non-Vehicle Maintenance,750
0007,Lane Transit District,MB,PT,Total,174103
0007,Lane Transit District,MB,PT,Vehicle Maintenance,11752
0007,Lane Transit District,MB,PT,Vehicle Operations,145996
0007,Lane Transit District,RB,DO,General Administration,1015761
0007,Lane Transit District,RB,DO,Non-Vehicle Maintenance,328668
0007,Lane Transit District,RB,DO,Total,5583993
0007,Lane Transit District,RB,DO,Vehicle Maintenance,882914
0007,Lane Transit District,RB,DO,Vehicle Operations,3356650
0007,Lane Transit District,VP,PT,General Administration,94462
0007,Lane Transit District,VP,PT,Non-Vehicle Maintenance,3513
0007,Lane Transit District,VP,PT,Total,189187
0007,Lane Transit District,VP,PT,Vehicle Maintenance,7902
0007,Lane Transit District,VP,PT,Vehicle Operations,83310
0008,Tri-County Metropolitan Transportation District of Oregon,DR,PT,General Administration,8874373
0008,Tri-County Metropolitan Transportation District of Oregon,DR,PT,Non-Vehicle Maintenance,129430
0008,Tri-County Metropolitan Transportation District of Oregon,DR,PT,Total,60203522
0008,Tri-County Metropolitan Transportation District of Oregon,DR,PT,Vehicle Maintenance,2415891
0008,Tri-County Metropolitan Transportation District of Oregon,DR,PT,Vehicle Operations,20756519
0008,Tri-County Metropolitan Transportation District of Oregon,DT,PT,General Administration,818552
0008,Tri-County Metropolitan Transportation District of Oregon,DT,PT,Non-Vehicle Maintenance,8380
0008,Tri-County Metropolitan Transportation District of Oregon,DT,PT,Total,6765453
0008,Tri-County Metropolitan Transportation District of Oregon,DT,PT,Vehicle Maintenance,572973
0008,Tri-County Metropolitan Transportation District of Oregon,DT,PT,Vehicle Operations,2009934
0008,Tri-County Metropolitan Transportation District of Oregon,LR,DO,General Administration,19712328
0008,Tri-County Metropolitan Transportation District of Oregon,LR,DO,Non-Vehicle Maintenance,17468665
0008,Tri-County Metropolitan Transportation District of Oregon,LR,DO,Total,99326676
0008,Tri-County Metropolitan Transportation District of Oregon,LR,DO,Vehicle Maintenance,22567727
0008,Tri-County Metropolitan Transportation District of Oregon,LR,DO,Vehicle Operations,39577956
0008,Tri-County Metropolitan Transportation District of Oregon,MB,DO,General Administration,45209123
0008,Tri-County Metropolitan Transportation District of Oregon,MB,DO,Non-Vehicle Maintenance,9572155
0008,Tri-County Metropolitan Transportation District of Oregon,MB,DO,Total,239125561
0008,Tri-County Metropolitan Transportation District of Oregon,MB,DO,Vehicle Maintenance,37000366
0008,Tri-County Metropolitan Transportation District of Oregon,MB,DO,Vehicle Operations,147343917
0008,Tri-County Metropolitan Transportation District of Oregon,SR,PT,General Administration,2679134
0008,Tri-County Metropolitan Transportation District of Oregon,SR,PT,Non-Vehicle Maintenance,186951
0008,Tri-County Metropolitan Transportation District of Oregon,SR,PT,Total,0
0008,Tri-County Metropolitan Transportation District of Oregon,SR,PT,Vehicle Maintenance,935097
0008,Tri-County Metropolitan Transportation District of Oregon,SR,PT,Vehicle Operations,4974453
0008,Tri-County Metropolitan Transportation District of Oregon,YR,PT,General Administration,2000775
0008,Tri-County Metropolitan Transportation District of Oregon,YR,PT,Non-Vehicle Maintenance,549902
0008,Tri-County Metropolitan Transportation District of Oregon,YR,PT,Total,7036033
0008,Tri-County Metropolitan Transportation District of Oregon,YR,PT,Vehicle Maintenance,1420211
0008,Tri-County Metropolitan Transportation District of Oregon,YR,PT,Vehicle Operations,3065145
0011,Valley Regional Transit,DR,DO,General Administration,199622
0011,Valley Regional Transit,DR,DO,Non-Vehicle Maintenance,10051
0011,Valley Regional Transit,DR,DO,Total,2578658
0011,Valley Regional Transit,DR,DO,Vehicle Maintenance,179540
0011,Valley Regional Transit,DR,DO,Vehicle Operations,900116
0011,Valley Regional Transit,MB,DO,General Administration,1201926
