ntdid,name,mode,tos,exp_type,total
1,King County Department of Transportation - Metro Transit Division,CB,PT,Vehicle Operations,"$24,181,451 "
1,King County Department of Transportation - Metro Transit Division,CB,PT,Vehicle Maintenance,"$9,660,210 "
1,King County Department of Transportation - Metro Transit Division,CB,PT,Non-Vehicle Maintenance,"$2,353,862 "
1,King County Department of Transportation - Metro Transit Division,CB,PT,General Administration,"$5,216,703 "
1,King County Department of Transportation - Metro Transit Division,CB,PT,Total,"$41,412,226 "
1,King County Department of Transportation - Metro Transit Division,DR,PT,Vehicle Operations,"$31,475,161 "
1,King County Department of Transportation - Metro Transit Division,DR,PT,Vehicle Maintenance,"$6,946,991 "
1,King County Department of Transportation - Metro Transit Division,DR,PT,Non-Vehicle Maintenance,"$691,139 "
1,King County Department of Transportation - Metro Transit Division,DR,PT,General Administration,"$22,576,661 "
1,King County Department of Transportation - Metro Transit Division,DR,PT,Total,"$61,689,952 "
1,King County Department of Transportation - Metro Transit Division,DT,PT,Vehicle Operations,"$501,896 "
1,King County Department of Transportation - Metro Transit Division,DT,PT,Vehicle Maintenance,"$110,775 "
1,King County Department of Transportation - Metro Transit Division,DT,PT,Non-Vehicle Maintenance,"$11,020 "
1,King County Department of Transportation - Metro Transit Division,DT,PT,General Administration,"$360,003 "
1,King County Department of Transportation - Metro Transit Division,DT,PT,Total,"$983,694 "
1,King County Department of Transportation - Metro Transit Division,LR,PT,Vehicle Operations,"$11,891,334 "
1,King County Department of Transportation - Metro Transit Division,LR,PT,Vehicle Maintenance,"$4,625,055 "
1,King County Department of Transportation - Metro Transit Division,LR,PT,Non-Vehicle Maintenance,"$10,142,084 "
1,King County Department of Transportation - Metro Transit Division,LR,PT,General Administration,"$2,884,845 "
1,King County Department of Transportation - Metro Transit Division,LR,PT,Total,"$29,543,318 "
1,King County Department of Transportation - Metro Transit Division,MB,DO,Vehicle Operations,"$263,951,249 "
1,King County Department of Transportation - Metro Transit Division,MB,DO,Vehicle Maintenance,"$76,053,509 "
1,King County Department of Transportation - Metro Transit Division,MB,DO,Non-Vehicle Maintenance,"$25,299,003 "
1,King County Department of Transportation - Metro Transit Division,MB,DO,General Administration,"$75,282,000 "
1,King County Department of Transportation - Metro Transit Division,MB,DO,Total,"$440,585,761 "
1,King County Department of Transportation - Metro Transit Division,MB,PT,Vehicle Operations,"$5,171,477 "
1,King County Department of Transportation - Metro Transit Division,MB,PT,Vehicle Maintenance,"$713,768 "
1,King County Department of Transportation - Metro Transit Division,MB,PT,Non-Vehicle Maintenance,"$476,355 "
1,King County Department of Transportation - Metro Transit Division,MB,PT,General Administration,"$2,496,632 "
1,King County Department of Transportation - Metro Transit Division,MB,PT,Total,"$8,858,232 "
1,King County Department of Transportation - Metro Transit Division,SR,DO,Vehicle Operations,"$1,638,751 "
1,King County Department of Transportation - Metro Transit Division,SR,DO,Vehicle Maintenance,"$459,100 "
1,King County Department of Transportation - Metro Transit Division,SR,DO,Non-Vehicle Maintenance,"$168,178 "
1,King County Department of Transportation - Metro Transit Division,SR,DO,General Administration,"$675,692 "
1,King County Department of Transportation - Metro Transit Division,SR,DO,Total,"$2,941,721 "
1,King County Department of Transportation - Metro Transit Division,TB,DO,Vehicle Operations,"$33,445,071 "
1,King County Department of Transportation - Metro Transit Division,TB,DO,Vehicle Maintenance,"$11,235,062 "
1,King County Department of Transportation - Metro Transit Division,TB,DO,Non-Vehicle Maintenance,"$7,734,584 "
1,King County Department of Transportation - Metro Transit Division,TB,DO,General Administration,"$10,480,066 "
1,King County Department of Transportation - Metro Transit Division,TB,DO,Total,"$62,894,783 "
1,King County Department of Transportation - Metro Transit Division,VP,DO,Vehicle Operations,"$2,923,977 "
1,King County Department of Transportation - Metro Transit Division,VP,DO,Vehicle Maintenance,"$1,856,686 "
1,King County Department of Transportation - Metro Transit Division,VP,DO,Non-Vehicle Maintenance,"$62,366 "
1,King County Department of Transportation - Metro Transit Division,VP,DO,General Administration,"$5,446,012 "
1,King County Department of Transportation - Metro Transit Division,VP,DO,Total,"$10,289,041 "
2,Spokane Transit Authority,DR,DO,Vehicle Operations,"$5,747,068 "
2,Spokane Transit Authority,DR,DO,Vehicle Maintenance,"$1,092,701 "
2,Spokane Transit Authority,DR,DO,Non-Vehicle Maintenance,"$128,671 "
2,Spokane Transit Authority,DR,DO,General Administration,"$1,786,280 "
2,Spokane Transit Authority,DR,DO,Total,"$8,754,720 "
2,Spokane Transit Authority,DR,PT,Vehicle Operations,"$3,351,556 "
2,Spokane Transit Authority,DR,PT,Vehicle Maintenance,"$106,854 "
2,Spokane Transit Authority,DR,PT,Non-Vehicle Maintenance,"$108,893 "
