ntdid,name,mode,tos,exp_type,total
0001,NA,VP,DO,Vehicle Operations,"$1,763,911 "
0001,NA,VP,DO,Vehicle Maintenance,"$1,796,046 "
0001,NA,VP,DO,Non-Vehicle Maintenance,$0 
0001,NA,VP,DO,General Administration,"$4,065,527 "
0001,NA,TB,DO,General Administration,"$8,601,509 "
0001,NA,MB,DO,Vehicle Maintenance,"$54,220,260 "
0001,NA,MB,DO,General Administration,"$55,897,276 "
0001,NA,MB,PT,Vehicle Maintenance,"$6,280,202 "
0001,NA,MB,PT,General Administration,"$3,588,214 "
0001,NA,DR,PT,General Administration,"$9,339,003 "
0001,NA,DR,PT,Non-Vehicle Maintenance,"$920,098 "
0001,NA,DR,PT,Vehicle Maintenance,"$3,270,864 "
0001,NA,DR,PT,Vehicle Operations,"$37,081,091 "
0001,NA,MB,PT,Non-Vehicle Maintenance,"$2,612,617 "
0001,NA,MB,PT,Vehicle Operations,"$20,590,068 "
0001,NA,MB,DO,Non-Vehicle Maintenance,"$19,020,962 "
0001,NA,MB,DO,Vehicle Operations,"$190,739,222 "
0001,NA,TB,DO,Non-Vehicle Maintenance,"$6,520,616 "
0001,NA,TB,DO,Vehicle Maintenance,"$11,114,061 "
0001,NA,TB,DO,Vehicle Operations,"$26,776,207 "
0002,NA,VP,DO,Vehicle Operations,"$162,295 "
0002,NA,VP,DO,Vehicle Maintenance,"$46,219 "
0002,NA,VP,DO,Non-Vehicle Maintenance,"$6,182 "
0002,NA,VP,DO,General Administration,"$234,472 "
0002,NA,MB,DO,General Administration,"$6,422,479 "
0002,NA,DR,DO,Vehicle Maintenance,"$636,406 "
0002,NA,DR,DO,General Administration,"$1,248,633 "
0002,NA,DR,PT,Vehicle Maintenance,"$100,720 "
0002,NA,DR,PT,General Administration,"$130,935 "
0002,NA,DR,PT,Non-Vehicle Maintenance,"$90,648 "
0002,NA,DR,PT,Vehicle Operations,"$3,093,382 "
0002,NA,DR,DO,Non-Vehicle Maintenance,"$136,998 "
0002,NA,DR,DO,Vehicle Operations,"$4,516,489 "
0002,NA,MB,DO,Non-Vehicle Maintenance,"$1,941,024 "
0002,NA,MB,DO,Vehicle Maintenance,"$4,881,822 "
0002,NA,MB,DO,Vehicle Operations,"$21,969,721 "
0003,NA,VP,DO,Vehicle Operations,"$1,657,339 "
0003,NA,VP,DO,Vehicle Maintenance,"$439,784 "
0003,NA,VP,DO,Non-Vehicle Maintenance,"$152,194 "
0003,NA,VP,DO,General Administration,"$777,258 "
