ntdid,year,mode,fares
0001,2006,DR,659606
0001,2006,MB,59418649
0001,2006,TB,17360619
0001,2006,VP,6238455
0001,2007,DR,758136
0001,2007,MB,74158688
0001,2007,TB,15141561
0001,2007,VP,6872296
0001,2008,DR,831048
0001,2008,LR,275185
0001,2008,MB,96456346
0001,2008,TB,16212098
0001,2008,VP,8049283
0001,2009,DR,850905
0001,2009,LR,2714803
0001,2009,MB,105175693
0001,2009,TB,17892872
0001,2009,VP,9636603
0001,2010,DR,308539
0001,2010,DT,323133
0001,2010,LR,9897210
0001,2010,MB,110713902
0001,2010,TB,20112498
0001,2010,VP,8728042
0001,2011,CB,12511530
0001,2011,DR,874036
0001,2011,DT,302306
0001,2011,LR,12038576
0001,2011,MB,103635046
0001,2011,RB,3421279
0001,2011,SR,402342
0001,2011,TB,21573330
0001,2011,VP,9459661
0001,2012,CB,13895391
0001,2012,DR,1005687
0001,2012,DT,328203
0001,2012,LR,13989008
0001,2012,MB,117724121
0001,2012,SR,505039
0001,2012,TB,23547904
0001,2012,VP,10320050
0001,2013,CB,14583312
0001,2013,DR,750659
0001,2013,DT,509850
0001,2013,LR,14845952
0001,2013,MB,122812905
0001,2013,SR,761610
0001,2013,TB,23166653
0001,2013,VP,11487561
0001,2014,CB,14708647
0001,2014,DR,957280
0001,2014,DT,309318
0001,2014,LR,15867923
0001,2014,MB,131318967
0001,2014,SR,423340
0001,2014,TB,24787685
0001,2014,VP,11804793
0001,2015,CB,15973711
0001,2015,DR,983881
0001,2015,DT,430252
0001,2015,LR,18203801
0001,2015,MB,137343603
0001,2015,SR,465698
0001,2015,TB,22028748
0001,2015,VP,7121362
0002,2006,DR,201092
0002,2006,MB,5801631
0002,2006,VP,335041
0002,2007,DR,205084
0002,2007,MB,6082747
0002,2007,VP,378692
0002,2008,DR,211042
0002,2008,MB,7112748
0002,2008,VP,538393
0002,2009,DR,206078
0002,2009,MB,7127521
0002,2009,VP,534002
0002,2010,DR,404124
0002,2010,MB,8382949
0002,2010,VP,556453
0002,2011,DR,545254
0002,2011,MB,8988852
0002,2011,VP,617643
0002,2012,DR,664841
0002,2012,MB,8922422
0002,2012,VP,727380
0002,2013,DR,634992
0002,2013,MB,9019785
0002,2013,VP,709604
0002,2014,DR,628458
0002,2014,MB,8475543
0002,2014,VP,746614
0002,2015,DR,642917
0002,2015,MB,7988366
0002,2015,VP,590762
0003,2006,DR,244056
0003,2006,MB,9133510
0003,2006,VP,2137441
0003,2007,DR,315918
0003,2007,MB,12906182
0003,2007,VP,2072788
0003,2008,DR,337001
0003,2008,MB,15165373
0003,2008,VP,2230211
0003,2009,DR,404889
0003,2009,MB,16868890
0003,2009,VP,2539666
0003,2010,DR,370331
0003,2010,MB,16220955
0003,2010,VP,2514731
0003,2011,CB,6898159
0003,2011,DR,378636
0003,2011,MB,10496943
0003,2011,VP,2626805
0003,2012,CB,8770765
0003,2012,DR,250988
0003,2012,MB,9324727
0003,2012,VP,2643525
