ntdid,year,mode,revenue_miles,revenue_hours,upt
0001,2006,DR,10022252,708970,1892683
0001,2006,MB,30490731,2535732,80201099
0001,2006,TB,2928913,432102,22212839
0001,2006,VP,9950978,296229,1966935
0002,2006,DR,2549613,167309,493981
0002,2006,MB,5570692,402533,8408678
0002,2006,VP,609371,17462,163826
0003,2006,DR,2962075,185269,405610
0003,2006,MB,7078677,546334,12409416
0003,2006,VP,4142489,120053,815139
0005,2006,DR,424913,39854,95169
0005,2006,MB,1210740,100720,2112866
0006,2006,DR,289153,22972,74314
0006,2006,MB,747929,52301,1176616
0006,2006,VP,268931,6963,54562
0007,2006,DR,802228,65128,133033
0007,2006,MB,3220372,259985,9309522
0007,2006,VP,68803,1651,14452
0008,2006,DR,6490970,465037,1050146
0008,2006,LR,3771486,254550,34591510
0008,2006,MB,23137816,1800848,65933541
0011,2006,DR,219991,17183,38311
0011,2006,MB,1305043,87881,1052439
0012,2006,DR,1002887,66881,180656
0012,2006,MB,2154841,151080,3948228
0016,2006,DR,156545,15548,46044
0016,2006,MB,215228,16791,330403
0018,2006,DR,2851940,180752,580528
0018,2006,MB,2485080,145912,3146208
0018,2006,VP,2739100,61360,695500
0019,2006,DR,658748,53954,135704
0019,2006,MB,2324977,171786,3264358
0019,2006,VP,2276065,60848,467104
0020,2006,DR,2082599,122166,435624
0020,2006,FB,51760,6534,453462
0020,2006,MB,2461072,135061,3913840
0020,2006,VP,1397035,47444,303981
0021,2006,DR,711215,51772,162211
0021,2006,MB,1665434,122560,3493303
0022,2006,DR,173431,14993,41401
0022,2006,MB,270243,21553,413560
0023,2006,MO,3416,549,239726
0024,2006,DR,1182787,77701,211818
0024,2006,MB,3683990,230657,5436022
0025,2006,DR,1157971,85763,293028
0025,2006,MB,2593144,171375,5551542
0025,2006,VP,122877,2913,22358
0028,2006,FB,40206,5736,211996
0029,2006,MB,8134800,484417,8965558
0029,2006,VP,3836396,70773,712485
0033,2006,DR,1769306,94890,211108
0034,2006,DR,617073,38470,92335
0034,2006,MB,670774,47112,1316379
0035,2006,FB,931074,128442,23788391
0040,2006,CR,117298,3096,1692971
0040,2006,LR,96118,9979,885553
0040,2006,MB,9834938,459939,9819143
0041,2006,AR,18808,1021,120361
0042,2006,DR,98605,4962,14858
0042,2006,MB,144640,11878,47616
0043,2006,DR,378731,23633,83985
0043,2006,MB,1351137,70079,807560
0044,2006,DR,297830,24219,48753
0044,2006,MB,573026,32284,372486
0044,2006,VP,494523,11438,74299
0045,2006,DR,150878,10378,22241
0045,2006,MB,296962,18011,376494
0046,2006,DR,141745,9759,26026
0046,2006,MB,391250,24368,279783
0049,2006,VP,743423,16626,105490
1001,2006,DR,4128213,312367,681593
1001,2006,MB,7651142,618936,19382981
1002,2006,DR,63232,7435,10311
1002,2006,MB,479818,35543,443986
1003,2006,CR,3845888,122033,37797601
1003,2006,DR,12802174,968814,1458824
1003,2006,FB,319946,21898,1312723
1003,2006,HR,4230489,290018,150705803
1003,2006,LR,3364981,346584,80278013
1003,2006,MB,26412207,2498439,104399208
1003,2006,TB,697672,71522,4308558
1004,2006,DR,560299,56120,192163
1004,2006,MB,1277220,114e3,2714543
1005,2006,DR,441018,41021,104971
1005,2006,MB,1051030,74862,1297914
1006,2006,DR,432200,43553,91096
1006,2006,MB,1155216,92653,1566552
1007,2006,DR,359064,39118,57692
1007,2006,MB,821634,43468,495788
1008,2006,DR,2610184,193079,373448
1008,2006,MB,4157052,314743,9552233
1013,2006,DR,391228,27630,57266
1013,2006,MB,1431193,103785,1750623
1014,2006,DR,1442686,110309,274173
1014,2006,MB,1546451,133506,3157498
1016,2006,MB,824825,68748,1379444
1017,2006,DR,3337098,266349,560160
1017,2006,MB,637952,31488,249438
1040,2006,DR,30058,1949,1974
1040,2006,MB,910195,54910,984782
1047,2006,MB,519946,32578,566112
1048,2006,MB,6293473,478471,12974403
1049,2006,DR,1446673,122524,258076
1049,2006,MB,196447,13541,74510
1050,2006,DR,366481,22575,79825
1050,2006,MB,2055675,164799,4863842
1051,2006,DR,364183,26002,64818
1051,2006,MB,883968,56595,839235
1052,2006,MB,70667,5474,40654
1053,2006,DR,148388,10690,33322
1053,2006,MB,322422,20765,262595
1055,2006,MB,3067435,273451,8425407
1056,2006,MB,1196715,116596,2844452
1057,2006,DR,351458,35441,82580
1057,2006,MB,1074706,88438,1836942
1061,2006,DR,1346992,110965,348944
1061,2006,MB,899278,74107,645682
1063,2006,DR,128710,12424,24059
1063,2006,MB,456804,27031,374685
1064,2006,DR,893667,69791,184769
1064,2006,MB,1667897,76079,677624
1066,2006,DR,421433,27304,52304
1066,2006,MB,1245345,93440,1942248
1066,2006,VP,30638,737,10248
1069,2006,DR,579935,54318,164426
1086,2006,DR,9769,560,1498
1086,2006,MB,478548,30536,352935
1087,2006,DR,230359,15620,38884
1087,2006,MB,240437,21215,348018
1088,2006,FB,70420,14866,869694
1095,2006,DR,610100,45141,93701
1095,2006,MB,895272,72660,1799461
1096,2006,DR,22229,1308,2730
1096,2006,MB,547034,41826,747139
1098,2006,DR,663105,46896,147854
1098,2006,MB,199950,14659,214835
1102,2006,CR,180768,4011,445564
1102,2006,MB,182073,7640,208835
1105,2006,DR,2665418,138049,389791
1105,2006,MB,779938,44777,311334
1107,2006,DR,341437,22252,62213
1107,2006,MB,275628,19721,324894
1108,2006,VP,5155850,123041,883809
1115,2006,CR,207028,4380,230644
1116,2006,MB,721898,25061,246761
2002,2006,DR,1084462,83801,156284
2002,2006,MB,6741865,562072,12719895
2003,2006,DR,555553,40626,108414
2003,2006,MB,1392882,113877,2853372
2004,2006,DR,911603,53100,83556
2004,2006,LR,379314,34625,5631864
2004,2006,MB,8904490,742145,18042628
2005,2006,DR,260132,14559,57896
2005,2006,MB,796642,40016,543250
2006,2006,DR,27208,5422,24394
2006,2006,MB,226426,24579,473209
2007,2006,DR,3307849,216932,352589
2007,2006,MB,10103473,810772,32159786
2008,2006,DR,21932434,1815981,2103497
2008,2006,HR,38077341,2080071,1874980539
2008,2006,MB,101520477,13036332,926379881
