"","ntdid","name","city","state","zip","GEOID.msa","GEOID.tract","year","total_expenses","revenue_miles","revenue_hours","upt","fares","average_speed","avg_fare","farebox_recovery","geometry"
"1","0001","King County Department of Transportation - Metro Transit Division","Seattle","WA",98104,"42660","53033009200",2006,464197754,53392874,3973033,106273556,83677329,13.4388196624594,0.787376767556362,0.180262244439899,c(-122.3323351, 47.6015566)
"2","0001","King County Department of Transportation - Metro Transit Division","Seattle","WA",98104,"42660","53033009200",2007,497519684,54458299,4027095,113928156,96930681,13.5229735081988,0.850805318046226,0.194827831173811,c(-122.3323351, 47.6015566)
"3","0001","King County Department of Transportation - Metro Transit Division","Seattle","WA",98104,"42660","53033009200",2008,593255772,56820404,4127709,122976146,121823960,13.7656031469273,0.990630817134243,0.205348124282556,c(-122.3323351, 47.6015566)
"4","0001","King County Department of Transportation - Metro Transit Division","Seattle","WA",98104,"42660","53033009200",2009,604630217,57331452,4151515,115834273,136270876,13.809766314225,1.17642967379784,0.22537887152934,c(-122.3323351, 47.6015566)
"5","0001","King County Department of Transportation - Metro Transit Division","Seattle","WA",98104,"42660","53033009200",2010,638151079,56906431,4109143,113637312,150083324,13.8487346388286,1.32072222898057,0.235184627808175,c(-122.3323351, 47.6015566)
"6","0001","King County Department of Transportation - Metro Transit Division","Seattle","WA",98104,"42660","53033009200",2011,653293798,59004847,4157822,117086557,164218106,14.1912874096101,1.4025359546613,0.251369455064075,c(-122.3323351, 47.6015566)
"7","0001","King County Department of Transportation - Metro Transit Division","Seattle","WA",98104,"42660","53033009200",2012,1261078612,60238235,4241204,119952268,181315403,14.2030977524307,1.51156294101917,0.143778033561638,c(-122.3323351, 47.6015566)
"8","0001","King County Department of Transportation - Metro Transit Division","Seattle","WA",98104,"42660","53033009200",2013,1288679101,60397095,4273989,123192043,188918502,14.1313173711959,1.53352844387847,0.146598561157236,c(-122.3323351, 47.6015566)
"9","0001","King County Department of Transportation - Metro Transit Division","Seattle","WA",98104,"42660","53033009200",2014,1318397456,61522,12154,125340418,200177953,5.06187263452361,1.597074241447,0.151834298594096,c(-122.3323351, 47.6015566)
"10","0001","King County Department of Transportation - Metro Transit Division","Seattle","WA",98104,"42660","53033009200",2015,604630217,58264171,4325894,126268526,202551056,13.4687005738005,1.60412940909756,0.33499988969291,c(-122.3323351, 47.6015566)
"11","0002","Spokane Transit Authority","Spokane","WA",99201,"44060","53063003500",2006,45618425,8729676,587304,9066485,6337764,14.8639818560745,0.699032094576895,0.138929917023659,c(-117.4316272, 47.6600716)
"12","0002","Spokane Transit Authority","Spokane","WA",99201,"44060","53063003500",2007,48681572,8955488,597504,10110368,6666523,14.9881640959726,0.659374910982469,0.13694140772611,c(-117.4316272, 47.6600716)
"13","0002","Spokane Transit Authority","Spokane","WA",99201,"44060","53063003500",2008,67751389,9336339,617977,11851256,7862183,15.107906928575,0.663405043313553,0.116044602421361,c(-117.4316272, 47.6600716)
"14","0002","Spokane Transit Authority","Spokane","WA",99201,"44060","53063003500",2009,65422436,9356185,617031,11884241,7867601,15.1632332897375,0.662019644334039,0.12025845384296,c(-117.4316272, 47.6600716)
"15","0002","Spokane Transit Authority","Spokane","WA",99201,"44060","53063003500",2010,68829594,9272529,611306,11436200,9343526,15.1683919346448,0.817013168709886,0.13574867229349,c(-117.4316272, 47.6600716)
"16","0002","Spokane Transit Authority","Spokane","WA",99201,"44060","53063003500",2011,67235323,9069707,590771,11550354,10151749,15.3523226427838,0.878912369265912,0.150988327965644,c(-117.4316272, 47.6600716)
"17","0002","Spokane Transit Authority","Spokane","WA",99201,"44060","53063003500",2012,112395272,9036137,577866,11771880,10314643,15.6370802227506,0.876210341933489,0.0917711467436104,c(-117.4316272, 47.6600716)
"18","0002","Spokane Transit Authority","Spokane","WA",99201,"44060","53063003500",2013,126141058,8961969,580892,11811344,10364381,15.4279435764307,0.877493789021808,0.0821650076852851,c(-117.4316272, 47.6600716)
"19","0002","Spokane Transit Authority","Spokane","WA",99201,"44060","53063003500",2014,118200336,NA,NA,12045936,9850615,NA,0.81775422017849,0.0833382994782688,c(-117.4316272, 47.6600716)
"20","0002","Spokane Transit Authority","Spokane","WA",99201,"44060","53063003500",2015,65422436,9087031,590796,11498777,9222045,15.3809961475704,0.802002247717301,0.140961504398888,c(-117.4316272, 47.6600716)
"21","0003","Pierce County Transportation Benefit Area Authority","Tacoma","WA",98496,"42660","53053071807",2006,87104531,14183241,851656,13630165,11515007,16.6537205162648,0.844817872711005,0.132197566163349,c(-122.5091202, 47.1666957)
"22","0003","Pierce County Transportation Benefit Area Authority","Tacoma","WA",98496,"42660","53053071807",2007,97044102,14262743,914200,14519524,15294888,15.601337781667,1.05340147514478,0.157607599893088,c(-122.5091202, 47.1666957)
"23","0003","Pierce County Transportation Benefit Area Authority","Tacoma","WA",98496,"42660","53053071807",2008,126964947,14745311,952553,16288954,17732585,15.4797801277199,1.08862637834203,0.139665202238851,c(-122.5091202, 47.1666957)
"24","0003","Pierce County Transportation Benefit Area Authority","Tacoma","WA",98496,"42660","53053071807",2009,127598367,14807338,933546,15560527,19813445,15.8613908687949,1.27331452205957,0.15527976937197,c(-122.5091202, 47.1666957)
"25","0003","Pierce County Transportation Benefit Area Authority","Tacoma","WA",98496,"42660","53053071807",2010,134979777,14514647,902773,15280450,19106017,16.0778479196875,1.25035695938274,0.141547255630745,c(-122.5091202, 47.1666957)
"26","0003","Pierce County Transportation Benefit Area Authority","Tacoma","WA",98496,"42660","53053071807",2011,139235164,13104643,784435,13444661,20400543,16.7058366850026,1.5173713193661,0.146518612209197,c(-122.5091202, 47.1666957)
"27","0003","Pierce County Transportation Benefit Area Authority","Tacoma","WA",98496,"42660","53053071807",2012,219746988,11594292,688684,11847684,20990005,16.8354310540103,1.77165469639467,0.0955189656569946,c(-122.5091202, 47.1666957)
"28","0003","Pierce County Transportation Benefit Area Authority","Tacoma","WA",98496,"42660","53053071807",2013,189495475,11490455,682741,11646847,21780912,16.8298886400553,1.8701123145174,0.114941594251789,c(-122.5091202, 47.1666957)
"29","0003","Pierce County Transportation Benefit Area Authority","Tacoma","WA",98496,"42660","53053071807",2014,222725652,NA,NA,11510558,22469702,NA,1.95209493753474,0.100885110440714,c(-122.5091202, 47.1666957)
"30","0003","Pierce County Transportation Benefit Area Authority","Tacoma","WA",98496,"42660","53053071807",2015,127598367,11327737,698921,10321907,23070526,16.2074640767698,2.23510306767926,0.180805809215411,c(-122.5091202, 47.1666957)
"31","0005","Everett Transit","Everett","WA",98201,"42660","53061040200",2006,13490674,1635653,140574,2208035,837548,11.6355300411171,0.37931826261812,0.0620834807808713,c(-122.1914014, 47.9990269)
"32","0005","Everett Transit","Everett","WA",98201,"42660","53061040200",2007,15875824,1797917,149232,2331495,1061083,12.0477980593974,0.455108417560407,0.0668364048379473,c(-122.1914014, 47.9990269)
"33","0005","Everett Transit","Everett","WA",98201,"42660","53061040200",2008,20530437,1902140,157021,2628874,1132685,12.1139210678826,0.430863175640978,0.0551710126774213,c(-122.1914014, 47.9990269)
"34","0005","Everett Transit","Everett","WA",98201,"42660","53061040200",2009,20773312,1962144,160499,2603957,1123655,12.2252724316039,0.431518262398342,0.0540912782708891,c(-122.1914014, 47.9990269)
"35","0005","Everett Transit","Everett","WA",98201,"42660","53061040200",2010,21817029,2128178,173621,2403168,1310825,12.2576070867003,0.54545707998775,0.060082653783886,c(-122.1914014, 47.9990269)
"36","0005","Everett Transit","Everett","WA",98201,"42660","53061040200",2011,22725726,2016754,169034,2454022,1291027,11.9310552906516,0.526086155706836,0.0568090541969924,c(-122.1914014, 47.9990269)
"37","0005","Everett Transit","Everett","WA",98201,"42660","53061040200",2012,37186520,1890435,157120,2394831,1316975,12.03179098778,0.549923982109802,0.0354153870811251,c(-122.1914014, 47.9990269)
"38","0005","Everett Transit","Everett","WA",98201,"42660","53061040200",2013,42136168,1760086,147007,2117070,1613726,11.9728040161353,0.762244989537427,0.0382978822374166,c(-122.1914014, 47.9990269)
"39","0005","Everett Transit","Everett","WA",98201,"42660","53061040200",2014,39142040,NA,NA,2091852,1554008,NA,0.742886208010892,0.0397017631170987,c(-122.1914014, 47.9990269)
"40","0005","Everett Transit","Everett","WA",98201,"42660","53061040200",2015,20773312,1755542,147717,2066036,1505893,11.8844953525999,0.728880329287583,0.0724917143688979,c(-122.1914014, 47.9990269)
"41","0006","Yakima Transit","Yakima","WA",98902,"49420","53077000800",2006,6214586,1306013,82236,1305492,474278,15.8812807043144,0.36329445144053,0.0763169099277088,c(-120.5363431, 46.5926188)
"42","0006","Yakima Transit","Yakima","WA",98902,"49420","53077000800",2007,6511653,1477875,83865,1434178,538185,17.6220711858344,0.375256767291089,0.0826495207898824,c(-120.5363431, 46.5926188)
"43","0006","Yakima Transit","Yakima","WA",98902,"49420","53077000800",2008,7487816,1872396,109259,1655533,776186,17.1372243934138,0.468843568808354,0.10365986557362,c(-120.5363431, 46.5926188)
"44","0006","Yakima Transit","Yakima","WA",98902,"49420","53077000800",2009,7132894,1662160,109952,1531016,798079,15.1171420256112,0.521274108173919,0.111887124636929,c(-120.5363431, 46.5926188)
"45","0006","Yakima Transit","Yakima","WA",98902,"49420","53077000800",2010,7420570,1737264,107960,1501368,890844,16.0917376806225,0.593354860367345,0.120050616057796,c(-120.5363431, 46.5926188)
"46","0006","Yakima Transit","Yakima","WA",98902,"49420","53077000800",2011,8837783,1896458,113800,1631938,981876,16.6648330404218,0.6016625631611,0.111099808628476,c(-120.5363431, 46.5926188)
