"","GEOID.msa","name","year","total_expenses","revenue_miles","revenue_hours","upt","fares","average_speed","avg_fare","farebox_recovery"
"1","10180","Abilene, TX",2006,2367893,1052217,74424,617378,295584,14.1381409222831,0.478773134125285,0.1248299648675
"2","10180","Abilene, TX",2007,2515078,1067752,78307,596298,315719,13.6354604313791,0.529465133205209,0.125530500445712
"3","10180","Abilene, TX",2008,3048867,1028380,77227,582654,363974,13.3163271912673,0.62468291644784,0.119380084470723
"4","10180","Abilene, TX",2009,3117061,1033023,78542,581421,350058,13.1524916605128,0.602073196530569,0.112303865724797
"5","10180","Abilene, TX",2010,3371959,871510,57310,542250,345374,15.2069446867911,0.636927616413094,0.102425326049338
"6","10180","Abilene, TX",2011,3390974,1068229,74683,528987,801095,14.303509500154,1.5143944936265,0.236243333036467
"7","10180","Abilene, TX",2012,3403226,1064681,73640,610339,664379,14.4579168929929,1.08854095838542,0.195220358565667
"8","10180","Abilene, TX",2013,7292030,1069017,75089,624864,714441,14.2366658232231,1.14335439391612,0.097975598015916
"9","10180","Abilene, TX",2014,3702724,0,0,605558,0,NA,0,0
"10","10180","Abilene, TX",2015,3117061,954498,65964,593169,0,14.4699836274331,0,0
"11","10420","Akron, OH",2006,34474502,5645264,449076,7035454,3701446,12.5708432425692,0.526113311237626,0.107367642323013
"12","10420","Akron, OH",2007,35997288,5620626,453644,6865201,3941144,12.3899489467512,0.574075544182902,0.109484470052299
"13","10420","Akron, OH",2008,39549361,5661182,441797,7140917,4166620,12.8139892303479,0.583485286273458,0.105352397476156
"14","10420","Akron, OH",2009,42752469,6222394,449987,6514806,4062772,13.8279416960934,0.6236213326997,0.0950301139333029
"15","10420","Akron, OH",2010,44943471,5842984,471284,6556029,4324079,12.3980105414145,0.659557637710266,0.0962115053374493
"16","10420","Akron, OH",2011,47990571,6068739,483907,6851329,4533877,12.5411267040981,0.661751464569867,0.0944743291343627
"17","10420","Akron, OH",2012,94072242,6706054,494337,7004665,7293568,13.5657537267087,1.0412443707158,0.0775315634552433
"18","10420","Akron, OH",2013,95694410,7352604,520215,6975210,8013418,14.1337793027883,1.14884254380872,0.0837396667161645
"19","10420","Akron, OH",2014,97787352,0,0,6992496,7871050,NA,1.12564240294167,0.0804914934193126
"20","10420","Akron, OH",2015,42752469,7384919,541935,6861468,7284267,13.6269460359637,1.06161932111321,0.170382370197146
"21","10500","Albany, GA",2006,2185511,674401,41517,735575,397595,16.2439723486764,0.540522720320837,0.181923129190382
"22","10500","Albany, GA",2007,2353864,667014,41581,789718,416285,16.0413169476444,0.527131203796798,0.176851763738262
"23","10500","Albany, GA",2008,3039112,649548,40731,792165,408991,15.9472637548796,0.516295216274387,0.134575823464222
"24","10500","Albany, GA",2009,2781077,642854,39473,962392,472908,16.2859169558939,0.491388124589564,0.170044914254442
"25","10500","Albany, GA",2010,3068215,628656,38437,874092,457214,16.3554908031324,0.523073086128234,0.149016284712773
"26","10500","Albany, GA",2011,3002924,637562,38854,1055743,503843,16.4091728007412,0.477240199556142,0.167784133064973
"27","10500","Albany, GA",2012,5567332,670821,41705,1016786,545914,16.0849058865843,0.536901570241919,0.098056663407176
"28","10500","Albany, GA",2013,5968887,601993,37247,1019215,559690,16.1621875587296,0.54913830742287,0.0937679001127011
"29","10500","Albany, GA",2014,5367500,0,0,1050680,577127,NA,0.549289031865078,0.107522496506754
"30","10500","Albany, GA",2015,2781077,695341,42147,727427,581485,16.4979951123449,0.799372308149134,0.209086264062448
