"","GEOID.msa","y.2006.num_agencies","y.2006.total_expenses","y.2006.revenue_miles","y.2006.revenue_hours","y.2006.upt","y.2006.fares","y.2006.average_speed","y.2006.avg_fare","y.2006.farebox_recovery","y.2007.num_agencies","y.2007.total_expenses","y.2007.revenue_miles","y.2007.revenue_hours","y.2007.upt","y.2007.fares","y.2007.average_speed","y.2007.avg_fare","y.2007.farebox_recovery","y.2008.num_agencies","y.2008.total_expenses","y.2008.revenue_miles","y.2008.revenue_hours","y.2008.upt","y.2008.fares","y.2008.average_speed","y.2008.avg_fare","y.2008.farebox_recovery","y.2009.num_agencies","y.2009.total_expenses","y.2009.revenue_miles","y.2009.revenue_hours","y.2009.upt","y.2009.fares","y.2009.average_speed","y.2009.avg_fare","y.2009.farebox_recovery","y.2010.num_agencies","y.2010.total_expenses","y.2010.revenue_miles","y.2010.revenue_hours","y.2010.upt","y.2010.fares","y.2010.average_speed","y.2010.avg_fare","y.2010.farebox_recovery","y.2011.num_agencies","y.2011.total_expenses","y.2011.revenue_miles","y.2011.revenue_hours","y.2011.upt","y.2011.fares","y.2011.average_speed","y.2011.avg_fare","y.2011.farebox_recovery","y.2012.num_agencies","y.2012.total_expenses","y.2012.revenue_miles","y.2012.revenue_hours","y.2012.upt","y.2012.fares","y.2012.average_speed","y.2012.avg_fare","y.2012.farebox_recovery","y.2013.num_agencies","y.2013.total_expenses","y.2013.revenue_miles","y.2013.revenue_hours","y.2013.upt","y.2013.fares","y.2013.average_speed","y.2013.avg_fare","y.2013.farebox_recovery","y.2014.num_agencies","y.2014.total_expenses","y.2014.revenue_miles","y.2014.revenue_hours","y.2014.upt","y.2014.fares","y.2014.average_speed","y.2014.avg_fare","y.2014.farebox_recovery","y.2015.num_agencies","y.2015.total_expenses","y.2015.revenue_miles","y.2015.revenue_hours","y.2015.upt","y.2015.fares","y.2015.average_speed","y.2015.avg_fare","y.2015.farebox_recovery"
"1","10180",1,2367893,1052217,74424,617378,295584,14.1381409222831,0.478773134125285,0.1248299648675,1,2515078,1067752,78307,596298,315719,13.6354604313791,0.529465133205209,0.125530500445712,1,3048867,1028380,77227,582654,363974,13.3163271912673,0.62468291644784,0.119380084470723,1,3117061,1033023,78542,581421,350058,13.1524916605128,0.602073196530569,0.112303865724797,1,3371959,871510,57310,542250,345374,15.2069446867911,0.636927616413094,0.102425326049338,1,3390974,1068229,74683,528987,801095,14.303509500154,1.5143944936265,0.236243333036467,1,3403226,1064681,73640,610339,664379,14.4579168929929,1.08854095838542,0.195220358565667,1,7292030,1069017,75089,624864,714441,14.2366658232231,1.14335439391612,0.097975598015916,1,3702724,NA,NA,605558,NA,NA,NA,NA,1,3117061,954498,65964,593169,NA,14.4699836274331,NA,NA
"2","10420",2,34474502,5645264,449076,7035454,3701446,12.5708432425692,0.526113311237626,0.107367642323013,2,35997288,5620626,453644,6865201,3941144,12.3899489467512,0.574075544182902,0.109484470052299,2,39549361,5661182,441797,7140917,4166620,12.8139892303479,0.583485286273458,0.105352397476156,2,42752469,6222394,449987,6514806,4062772,13.8279416960934,0.6236213326997,0.0950301139333029,2,44943471,5842984,471284,6556029,4324079,12.3980105414145,0.659557637710266,0.0962115053374493,2,47990571,6068739,483907,6851329,4533877,12.5411267040981,0.661751464569867,0.0944743291343627,2,94072242,6706054,494337,7004665,7293568,13.5657537267087,1.0412443707158,0.0775315634552433,2,95694410,7352604,520215,6975210,8013418,14.1337793027883,1.14884254380872,0.0837396667161645,2,97787352,NA,NA,6992496,7871050,NA,1.12564240294167,0.0804914934193126,2,42752469,7384919,541935,6861468,7284267,13.6269460359637,1.06161932111321,0.170382370197146
"3","10500",1,2185511,674401,41517,735575,397595,16.2439723486764,0.540522720320837,0.181923129190382,1,2353864,667014,41581,789718,416285,16.0413169476444,0.527131203796798,0.176851763738262,1,3039112,649548,40731,792165,408991,15.9472637548796,0.516295216274387,0.134575823464222,1,2781077,642854,39473,962392,472908,16.2859169558939,0.491388124589564,0.170044914254442,1,3068215,628656,38437,874092,457214,16.3554908031324,0.523073086128234,0.149016284712773,1,3002924,637562,38854,1055743,503843,16.4091728007412,0.477240199556142,0.167784133064973,1,5567332,670821,41705,1016786,545914,16.0849058865843,0.536901570241919,0.098056663407176,1,5968887,601993,37247,1019215,559690,16.1621875587296,0.54913830742287,0.0937679001127011,1,5367500,NA,NA,1050680,577127,NA,0.549289031865078,0.107522496506754,1,2781077,695341,42147,727427,581485,16.4979951123449,0.799372308149134,0.209086264062448
"4","10540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1269126,267130,15632,242539,47838,17.0886642784033,0.197238382280788,0.0376936568945873,1,2349932,272076,16865,245349,77942,16.1325822709754,0.317678083057196,0.0331677682588262,1,1475977,NA,NA,230436,89532,NA,0.388533041712232,0.0606594818211937,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","10580",1,55000541,7826327,645873,12876179,9398798,12.1174394966193,0.729936885779547,0.170885555471173,1,56480179,8093738,687425,12941973,10283671,11.7739942539186,0.794598397014118,0.182075750857659,1,73751431,8921035,727812,13903006,11403774,12.2573343116079,0.820238011837152,0.154624443829436,1,86049608,8860979,718482,15411749,13127632,12.3329171781617,0.851793784079925,0.152558882081136,1,86630779,8315877,673065,13801196,15414672,12.3552361213256,1.11690841866169,0.177935280946741,1,85267244,8648793,678382,13821787,15005354,12.749148709724,1.08563053388104,0.175980286169446,2,139975098,9334958,715139,14889581,15976495,13.0533476708724,1.07299829323606,0.114138123339624,2,153800797,8921411,699053,15529071,16849427,12.7621382069743,1.08502478995685,0.109553574029919,2,140947227,NA,NA,16420292,NA,NA,NA,NA,1,86049608,10490202,765809,16876832,17394787,13.6981962865414,1.03069029779997,0.202148358421342
"6","10740",1,35682431,6486822,385773,8751698,3835215,16.8151270306631,0.438225244975318,0.10748188653402,1,38976333,6515746,387902,9579900,4160746,16.7974024366979,0.434320400004175,0.106750576048291,1,49980003,6852940,479216,10595445,4031117,14.3003155153417,0.380457545671749,0.080654596999524,2,66338517,7229871,485712,12040939,7336650,14.8850985769345,0.609308792279406,0.110594121360898,2,70074397,7452395,493304,12621281,6694993,15.1071043413392,0.530452732967438,0.0955412145751322,2,75593031,7686895,515601,13380519,7302548,14.9086115038567,0.54575969736301,0.0966034554164127,2,135231446,8751366,549220,14277115,7221817,15.9341720986126,0.505831675376993,0.0534033851860166,2,157874549,9195829,579356,14370905,7619172,15.8725015361885,0.530180388778577,0.0482609264651011,2,160689856,NA,NA,14505996,7281401,NA,0.501958017912041,0.0453133830675659,2,66338517,9592894,597696,13768464,6785446,16.0497878520184,0.492825198221094,0.102285162630331
"7","10780",1,2207100,585253,37040,694870,324058,15.8005669546436,0.466357735979392,0.146825245797653,1,2330275,577533,37917,708354,357988,15.2315056570931,0.505380078322421,0.153624786774093,1,3015720,634306,40674,734178,372572,15.5948763337759,0.507468216154666,0.123543299775841,1,3084773,649199,40511,835762,341671,16.0252524005826,0.408813753197681,0.110760500043277,1,3095171,638255,40628,783218,374237,15.7097322043911,0.477819713030089,0.120909959417428,1,2576343,667940,41570,735792,374431,16.0678373827279,0.50888158610042,0.145334297490668,1,2730245,686460,41943,774513,450909,16.3664973893141,0.582183901367698,0.165153310417197,1,5369064,670195,41216,770103,444788,16.2605541537267,0.577569493950809,0.0828427450296737,1,2859391,NA,NA,724570,445454,NA,0.614783940820073,0.155786319534474,1,3084773,632307,40201,704356,451466,15.7286385910798,0.640962808579752,0.146353070387999
"8","10900",2,33885072,9733061,454001,6532229,16160639,21.4384131312486,2.47398537313986,0.47692503058574,2,37864076,9623292,482201,6788624,18788198,19.9570137764127,2.76760032666414,0.49620114855041,2,42477128,9477354,445305,6802207,21833086,21.282837605686,3.20970620270744,0.51399628524791,2,42737253,9996015,438977,7016611,20070340,22.7711588534251,2.8604036906136,0.469621667073455,2,44234526,10223076,450627,6997339,22047152,22.6863370370617,3.15079089350966,0.49841501636075,2,47034138,10446501,523585,7126792,24280486,19.9518721888519,3.40693063583166,0.516231125570963,2,93132696,10589262,543519,6518387,24392549,19.4827816506875,3.74211426845322,0.261911767270218,2,98698854,10924421,568516,6573185,27275493,19.2156790662004,4.14950940830054,0.276350655500012,2,105541478,NA,NA,6662050,27825424,NA,4.17670596888345,0.263644441287813,2,42737253,10637839,510140,6530788,27749381,20.8527835496138,4.24900961415376,0.649301933374146
"9","11020",1,3719410,581664,43983,683822,578188,13.2247459245618,0.845524127623855,0.15545153666845,1,3921528,564776,43247,706025,590086,13.0593104724027,0.835786268191636,0.150473488905345,1,4024270,481685,37960,552170,680606,12.6892781875659,1.23260227828386,0.1691253320478,1,3809141,512997,40739,607268,689353,12.5922825793466,1.13517096240869,0.180973348059313,1,3874129,542498,42395,699407,681809,12.7962731454181,0.974838684771528,0.175990267747925,1,4140789,565005,43943,729177,746635,12.8576792663223,1.0239420607068,0.18031225450029,1,8465428,596211,46580,696008,833018,12.7997209102619,1.19685118561856,0.0984023489420736,1,8487002,579080,45104,687793,786141,12.8387726144023,1.14299069632869,0.0926288222861265,1,9065212,NA,NA,642524,745046,NA,1.15956135490659,0.0821873774159942,1,3809141,547451,44013,585457,735206,12.4383932020085,1.25578138104079,0.193010970189867
"10","11180",1,5421659,1051871,98190,4173208,230080,10.7126082085752,0.0551326461561465,0.0424371949619111,1,5688894,1095398,103109,4314151,265887,10.6236894936426,0.0616313615355605,0.0467379072276615,1,6535985,1127190,105806,4646554,294861,10.6533655936336,0.0634579948925591,0.0451134756276215,1,6652795,1124401,106596,5002143,284560,10.5482475890277,0.0568876179669394,0.0427729999195827,1,7208971,1155256,110398,5377155,317591,10.464464935959,0.0590630175250667,0.0440549698424366,1,8029107,1183645,112988,5447289,315716,10.475846992601,0.0579583715863065,0.0393214338780141,1,15754688,1192529,113708,5759865,3702337,10.4876437893552,0.642781905478687,0.234999068213855,1,16592903,1195130,114318,5893568,4023903,10.4544341223604,0.682761783693681,0.242507474430484,1,17724798,NA,NA,6619781,4395230,NA,0.663953988810204,0.247970667987302,1,6652795,1303542,126704,6710917,4419179,10.2880887738351,0.658505983608499,0.664259006928667
