GEO.id,GEO.id2,GEO.display-label,EST_VC16,EST_VC104
Id,Id2,Geography,Estimate; HOUSEHOLDS BY TYPE - Total households - Average household size,Estimate; PLACE OF BIRTH - Total population - Foreign born
3100000US10140,10140,"Aberdeen, WA Micro Area",2.44,4461
3100000US10180,10180,"Abilene, TX Metro Area",2.42,6094
3100000US10300,10300,"Adrian, MI Micro Area",2.65,2213
3100000US10420,10420,"Akron, OH Metro Area",2.44,25757
3100000US10500,10500,"Albany, GA Metro Area",2.58,2344
3100000US10540,10540,"Albany-Lebanon, OR Micro Area",2.6,4149
3100000US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",2.42,52677
3100000US10700,10700,"Albertville, AL Micro Area",2.66,4610
3100000US10740,10740,"Albuquerque, NM Metro Area",2.52,85787
3100000US10780,10780,"Alexandria, LA Metro Area",2.61,3123
3100000US10880,10880,"Allegan, MI Micro Area",2.72,4341
3100000US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2.53,56407
3100000US11020,11020,"Altoona, PA Metro Area",2.42,1091
3100000US11100,11100,"Amarillo, TX Metro Area",2.73,16947
3100000US11180,11180,"Ames, IA Metro Area",2.25,7103
3100000US11260,11260,"Anchorage, AK Metro Area",2.85,29699
3100000US11300,11300,"Anderson, IN Metro Area",2.38,1700
3100000US11340,11340,"Anderson, SC Metro Area",2.53,4925
3100000US11460,11460,"Ann Arbor, MI Metro Area",2.4,39227
3100000US11500,11500,"Anniston-Oxford, AL Metro Area",2.36,2758
3100000US11540,11540,"Appleton, WI Metro Area",2.5,7565
3100000US11700,11700,"Asheville, NC Metro Area",2.32,20636
3100000US11780,11780,"Ashtabula, OH Micro Area",2.48,1919
3100000US11980,11980,"Athens, TX Micro Area",2.69,4692
3100000US12020,12020,"Athens-Clarke County, GA Metro Area",2.61,14849
3100000US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2.76,665297
3100000US12100,12100,"Atlantic City, NJ Metro Area",2.52,40873
3100000US12180,12180,"Auburn, NY Micro Area",2.42,1765
3100000US12220,12220,"Auburn-Opelika, AL Metro Area",2.32,5498
3100000US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",2.57,17596
3100000US12300,12300,"Augusta-Waterville, ME Micro Area",2.31,2183
3100000US12420,12420,"Austin-Round Rock, TX Metro Area",2.62,218992
3100000US12540,12540,"Bakersfield, CA Metro Area",3.13,164558
3100000US12580,12580,"Baltimore-Towson, MD Metro Area",2.58,200349
3100000US12620,12620,"Bangor, ME Metro Area",2.31,3930
3100000US12700,12700,"Barnstable Town, MA Metro Area",2.23,16912
3100000US12940,12940,"Baton Rouge, LA Metro Area",2.66,25039
3100000US12980,12980,"Battle Creek, MI Metro Area",2.5,4216
3100000US13020,13020,"Bay City, MI Metro Area",2.4,1295
3100000US13140,13140,"Beaumont-Port Arthur, TX Metro Area",2.55,24373
3100000US13180,13180,"Beaver Dam, WI Micro Area",2.47,2130
3100000US13220,13220,"Beckley, WV Micro Area",2.32,642
3100000US13380,13380,"Bellingham, WA Metro Area",2.41,21654
3100000US13460,13460,"Bend, OR Metro Area",2.49,7243
3100000US13740,13740,"Billings, MT Metro Area",2.5,2691
3100000US13780,13780,"Binghamton, NY Metro Area",2.34,13228
3100000US13820,13820,"Birmingham-Hoover, AL Metro Area",2.5,36862
3100000US13900,13900,"Bismarck, ND Metro Area",2.33,1771
3100000US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2.27,8174
3100000US14020,14020,"Bloomington, IN Metro Area",2.48,8508
3100000US14060,14060,"Bloomington-Normal, IL Metro Area",2.4,7590
3100000US14100,14100,"Bloomsburg-Berwick, PA Micro Area",2.38,1979
3100000US14140,14140,"Bluefield, WV-VA Micro Area",2.44,763
3100000US14260,14260,"Boise City-Nampa, ID Metro Area",2.59,35460
3100000US14460,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",2.56,706586
3100000US14500,14500,"Boulder, CO Metro Area",2.41,33611
3100000US14540,14540,"Bowling Green, KY Metro Area",2.45,6631
3100000US14580,14580,"Bozeman, MT Micro Area",2.45,2828
3100000US14660,14660,"Brainerd, MN Micro Area",2.27,761
3100000US14700,14700,"Branson, MO Micro Area",2.29,1017
3100000US14740,14740,"Bremerton-Silverdale, WA Metro Area",2.59,12328
3100000US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2.7,178543
3100000US15180,15180,"Brownsville-Harlingen, TX Metro Area",3.32,98947
3100000US15260,15260,"Brunswick, GA Metro Area",2.58,3746
3100000US15380,15380,"Buffalo-Niagara Falls, NY Metro Area",2.4,56656
3100000US15500,15500,"Burlington, NC Metro Area",2.45,12407
3100000US15540,15540,"Burlington-South Burlington, VT Metro Area",2.45,10956
3100000US15940,15940,"Canton-Massillon, OH Metro Area",2.47,8857
3100000US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",2.28,86891
3100000US16020,16020,"Cape Girardeau-Jackson, MO-IL Micro Area",2.41,859
3100000US16220,16220,"Casper, WY Metro Area",2.5,1038
3100000US16300,16300,"Cedar Rapids, IA Metro Area",2.36,5663
3100000US16500,16500,"Centralia, WA Micro Area",2.67,2722
3100000US16540,16540,"Chambersburg, PA Micro Area",2.4,3889
3100000US16580,16580,"Champaign-Urbana, IL Metro Area",2.29,18378
3100000US16620,16620,"Charleston, WV Metro Area",2.35,2877
3100000US16700,16700,"Charleston-North Charleston, SC Metro Area",2.49,25738
3100000US16740,16740,"Charlotte-Gastonia-Concord, NC-SC Metro Area",2.53,146269
3100000US16820,16820,"Charlottesville, VA Metro Area",2.36,11525
3100000US16860,16860,"Chattanooga, TN-GA Metro Area",2.39,13519
3100000US16940,16940,"Cheyenne, WY Metro Area",2.47,2925
3100000US16980,16980,"Chicago-Naperville-Joliet, IL-IN-WI Metro Area",2.76,1695417
3100000US17020,17020,"Chico, CA Metro Area",2.47,15631
3100000US17060,17060,"Chillicothe, OH Micro Area",2.65,872
3100000US17140,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",2.56,72134
3100000US17220,17220,"Clarksburg, WV Micro Area",2.48,809
3100000US17300,17300,"Clarksville, TN-KY Metro Area",2.51,7611
3100000US17340,17340,"Clearlake, CA Micro Area",2.58,6232
3100000US17420,17420,"Cleveland, TN Metro Area",2.42,1890
3100000US17460,17460,"Cleveland-Elyria-Mentor, OH Metro Area",2.48,121458
3100000US17660,17660,"Coeur d'Alene, ID Metro Area",2.52,3149
3100000US17780,17780,"College Station-Bryan, TX Metro Area",2.46,21478
3100000US17820,17820,"Colorado Springs, CO Metro Area",2.56,43668
3100000US17860,17860,"Columbia, MO Metro Area",2.2,7395
3100000US17900,17900,"Columbia, SC Metro Area",2.46,29107
3100000US17940,17940,"Columbia, TN Micro Area",2.48,3359
3100000US17980,17980,"Columbus, GA-AL Metro Area",2.41,9605
3100000US18020,18020,"Columbus, IN Metro Area",2.65,3810
3100000US18140,18140,"Columbus, OH Metro Area",2.47,104228
3100000US18180,18180,"Concord, NH Micro Area",2.48,5278
3100000US18260,18260,"Cookeville, TN Micro Area",2.46,3474
3100000US18300,18300,"Coos Bay, OR Micro Area",2.28,2167
3100000US18500,18500,"Corning, NY Micro Area",2.48,2569
3100000US18580,18580,"Corpus Christi, TX Metro Area",2.73,26689
3100000US18700,18700,"Corvallis, OR Metro Area",2.24,6102
3100000US18980,18980,"Cullman, AL Micro Area",2.5,2110
3100000US19060,19060,"Cumberland, MD-WV Metro Area",2.23,795
3100000US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2.84,1078552
3100000US19140,19140,"Dalton, GA Metro Area",2.99,20123
3100000US19180,19180,"Danville, IL Metro Area",2.48,1767
3100000US19260,19260,"Danville, VA Metro Area",2.29,1908
3100000US19300,19300,"Daphne-Fairhope, AL Micro Area",2.38,4441
3100000US19340,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",2.41,14352
3100000US19380,19380,"Dayton, OH Metro Area",2.39,22461
3100000US19460,19460,"Decatur, AL Metro Area",2.5,5449
3100000US19500,19500,"Decatur, IL Metro Area",2.23,2251
3100000US19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",2.38,37288
3100000US19740,19740,"Denver-Aurora, CO Metro Area",2.51,311174
3100000US19780,19780,"Des Moines-West Des Moines, IA Metro Area",2.4,33270
3100000US19820,19820,"Detroit-Warren-Livonia, MI Metro Area",2.61,378304
3100000US20020,20020,"Dothan, AL Metro Area",2.59,1987
3100000US20100,20100,"Dover, DE Metro Area",2.6,6230
3100000US20180,20180,"DuBois, PA Micro Area",2.35,647
3100000US20220,20220,"Dubuque, IA Metro Area",2.41,1824
3100000US20260,20260,"Duluth, MN-WI Metro Area",2.32,4787
3100000US20380,20380,"Dunn, NC Micro Area",2.85,6169
3100000US20500,20500,"Durham, NC Metro Area",2.39,54065
3100000US20620,20620,"East Liverpool-Salem, OH Micro Area",2.48,1567
3100000US20700,20700,"East Stroudsburg, PA Micro Area",2.82,15606
3100000US20740,20740,"Eau Claire, WI Metro Area",2.36,3633
3100000US20940,20940,"El Centro, CA Metro Area",3.33,52240
3100000US21060,21060,"Elizabethtown, KY Metro Area",2.44,3851
3100000US21140,21140,"Elkhart-Goshen, IN Metro Area",2.76,20004
3100000US21300,21300,"Elmira, NY Metro Area",2.36,2331
3100000US21340,21340,"El Paso, TX Metro Area",3.13,202516
3100000US21460,21460,"Enterprise-Ozark, AL Micro Area",2.45,2958
3100000US21500,21500,"Erie, PA Metro Area",2.46,11739
3100000US21660,21660,"Eugene-Springfield, OR Metro Area",2.38,19813
3100000US21700,21700,"Eureka-Arcata-Fortuna, CA Micro Area",2.38,5669
3100000US21780,21780,"Evansville, IN-KY Metro Area",2.39,5770
3100000US21820,21820,"Fairbanks, AK Metro Area",3.02,3763
3100000US22020,22020,"Fargo, ND-MN Metro Area",2.18,6711
3100000US22140,22140,"Farmington, NM Metro Area",3.25,3933
3100000US22180,22180,"Fayetteville, NC Metro Area",2.44,14713
3100000US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",2.56,38382
3100000US22300,22300,"Findlay, OH Micro Area",2.29,2227
3100000US22380,22380,"Flagstaff, AZ Metro Area",2.71,6403
3100000US22420,22420,"Flint, MI Metro Area",2.47,10125
3100000US22500,22500,"Florence, SC Metro Area",2.69,3979
3100000US22520,22520,"Florence-Muscle Shoals, AL Metro Area",2.43,2608
3100000US22540,22540,"Fond du Lac, WI Metro Area",2.47,1864
3100000US22660,22660,"Fort Collins-Loveland, CO Metro Area",2.36,15656
3100000US22840,22840,"Fort Payne, AL Micro Area",2.77,5238
3100000US22900,22900,"Fort Smith, AR-OK Metro Area",2.65,15175
3100000US23020,23020,"Fort Walton Beach-Crestview-Destin, FL Metro Area",2.25,9121
3100000US23060,23060,"Fort Wayne, IN Metro Area",2.52,18281
