GEO.id,GEO.id2,GEO.display-label,EST_VC03,EST_VC06,EST_VC20,EST_VC21,EST_VC22,EST_VC23,EST_VC24,EST_VC25,EST_VC26,EST_VC27,EST_VC30,EST_VC31,EST_VC32,EST_VC34,EST_VC35,EST_VC51,EST_VC52,EST_VC53,EST_VC67
Id,Id2,Geography,Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force,Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed,Estimate; COMMUTING TO WORK - Workers 16 years and over,"Estimate; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- drove alone","Estimate; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- carpooled",Estimate; COMMUTING TO WORK - Workers 16 years and over - Public transportation (excluding taxicab),Estimate; COMMUTING TO WORK - Workers 16 years and over - Walked,Estimate; COMMUTING TO WORK - Workers 16 years and over - Other means,Estimate; COMMUTING TO WORK - Workers 16 years and over - Worked at home,Estimate; COMMUTING TO WORK - Workers 16 years and over - Mean travel time to work (minutes),"Estimate; Civilian employed population 16 years and over - OCCUPATION - Management, professional, and related occupations",Estimate; Civilian employed population 16 years and over - OCCUPATION - Service occupations,Estimate; Civilian employed population 16 years and over - OCCUPATION - Sales and office occupations,"Estimate; Civilian employed population 16 years and over - OCCUPATION - Construction, extraction, maintenance and repair occupations","Estimate; Civilian employed population 16 years and over - OCCUPATION - Production, transportation, and material moving occupations",Estimate; Civilian employed population 16 years and over - CLASS OF WORKER - Private wage and salary workers,Estimate; Civilian employed population 16 years and over - CLASS OF WORKER - Government workers,Estimate; Civilian employed population 16 years and over - CLASS OF WORKER - Self-employed workers in own not incorporated business,Estimate; INCOME AND BENEFITS (IN 2006 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars)
3100000US10140,10140,"Aberdeen, WA Micro Area",32647,2552,29072,23393,3514,402,782,160,821,22.6,6620,6976,6444,4744,4432,21577,6376,2069,40272
3100000US10180,10180,"Abilene, TX Metro Area",77267,4926,69960,55425,9243,233,1645,1243,2171,17.4,20974,13335,18381,8261,8504,50170,14252,5240,39784
3100000US10300,10300,"Adrian, MI Micro Area",54205,5424,46408,37194,6446,157,748,692,1171,26.5,11963,7355,11238,5498,12236,39703,6242,2458,46901
3100000US10420,10420,"Akron, OH Metro Area",372056,23546,340143,291970,24769,4492,7396,3164,8352,22.2,114702,56039,97795,26406,52822,288752,40114,18861,44507
3100000US10500,10500,"Albany, GA Metro Area",75071,7507,65320,53586,8571,779,967,322,1095,19.7,19717,11119,17700,7909,10475,48900,14277,3856,35515
3100000US10540,10540,"Albany-Lebanon, OR Micro Area",53574,3285,49632,37742,5796,203,1345,850,3696,21.4,11930,7732,12309,6274,9757,40469,5789,3944,40782
3100000US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",458171,24488,420409,335600,38041,11046,16327,5630,13765,21.6,171080,69524,115013,33786,41886,305787,98984,26354,53202
3100000US10700,10700,"Albertville, AL Micro Area",40344,1803,37227,29284,5963,0,674,432,874,23.5,8458,6127,8921,4728,9371,29948,5824,2466,37030
3100000US10740,10740,"Albuquerque, NM Metro Area",422234,24558,385462,307006,45292,5386,6780,7051,13947,23,147588,64375,100936,46857,34571,295809,73085,25338,44799
