GEO.id,GEO.id2,GEO.display-label,EST_VC34,EST_VC35,EST_VC36,EST_VC41,EST_VC49,EST_VC54,EST_VC55,EST_VC69
Id,Id2,Geography,Estimate; Total population - One race - White,Estimate; Total population - One race - Black or African American,Estimate; Total population - One race - American Indian and Alaska Native,Estimate; Total population - One race - Asian,Estimate; Total population - One race - Native Hawaiian and Other Pacific Islander,Estimate; Total population - One race - Some other race,Estimate; Total population - Two or more races,Estimate; HISPANIC OR LATINO AND RACE - Total population
3100000US10140,10140,"Aberdeen, WA Micro Area",61170,452,2717,1189,97,3574,2388,71587
3100000US10180,10180,"Abilene, TX Metro Area",117617,10828,566,2266,0,23507,3764,158548
3100000US10300,10300,"Adrian, MI Micro Area",94002,1536,752,476,0,2736,2689,102191
3100000US10420,10420,"Akron, OH Metro Area",592203,81926,1492,12417,395,4395,8115,700943
3100000US10500,10500,"Albany, GA Metro Area",80213,81563,257,1049,0,570,1410,165062
3100000US10540,10540,"Albany-Lebanon, OR Micro Area",102881,519,1404,1138,200,2741,2606,111489
3100000US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",737981,59751,2024,26176,135,12288,12602,850957
3100000US10700,10700,"Albertville, AL Micro Area",82475,1062,436,1015,31,1486,680,87185
3100000US10740,10740,"Albuquerque, NM Metro Area",536529,21877,50091,15678,423,160992,29840,815430
3100000US10780,10780,"Alexandria, LA Metro Area",101325,43969,1164,1234,78,1754,1303,150827
3100000US10880,10880,"Allegan, MI Micro Area",104593,1654,498,791,0,4669,1296,113501
3100000US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",689044,32339,654,18244,255,47577,12223,800336
3100000US11020,11020,"Altoona, PA Metro Area",122538,1803,153,771,53,323,853,126494
3100000US11100,11100,"Amarillo, TX Metro Area",187530,14012,1393,4879,213,27328,5626,240981
3100000US11180,11180,"Ames, IA Metro Area",71830,1207,49,5133,0,1174,752,80145
3100000US11260,11260,"Anchorage, AK Metro Area",265860,15806,17794,17652,2983,6000,33085,359180
3100000US11300,11300,"Anderson, IN Metro Area",116007,11196,75,286,0,1637,1374,130575
3100000US11340,11340,"Anderson, SC Metro Area",143661,27641,355,1101,0,1747,3458,177963
