GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC02_EST_VC06,HC01_EST_VC10,HC01_EST_VC20,HC01_EST_VC21,HC01_EST_VC22,HC01_EST_VC23,HC01_EST_VC24,HC01_EST_VC25,HC01_EST_VC26,HC01_EST_VC27,HC01_EST_VC30,HC01_EST_VC31,HC01_EST_VC32,HC01_EST_VC34,HC01_EST_VC35,HC01_EST_VC53,HC01_EST_VC54,HC01_EST_VC55,HC01_EST_VC69
Id,Id2,Geography,Number; Estimate; EMPLOYMENT STATUS - Population 16 years and over,Percent; Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed,Number; Estimate; EMPLOYMENT STATUS - Civilian labor force - Percent Unemployed,Number; Estimate; COMMUTING TO WORK - Workers 16 years and over,"Number; Estimate; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- drove alone","Number; Estimate; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- carpooled",Number; Estimate; COMMUTING TO WORK - Workers 16 years and over - Public transportation (excluding taxicab),Number; Estimate; COMMUTING TO WORK - Workers 16 years and over - Walked,Number; Estimate; COMMUTING TO WORK - Workers 16 years and over - Other means,Number; Estimate; COMMUTING TO WORK - Workers 16 years and over - Worked at home,Number; Estimate; COMMUTING TO WORK - Workers 16 years and over - Mean travel time to work (minutes),"Number; Estimate; OCCUPATION - Civilian employed population 16 years and over - Management, professional, and related occupations",Number; Estimate; OCCUPATION - Civilian employed population 16 years and over - Service occupations,Number; Estimate; OCCUPATION - Civilian employed population 16 years and over - Sales and office occupations,"Number; Estimate; OCCUPATION - Civilian employed population 16 years and over - Construction, extraction, maintenance and repair occupations","Number; Estimate; OCCUPATION - Civilian employed population 16 years and over - Production, transportation, and material moving occupations",Number; Estimate; CLASS OF WORKER - Civilian employed population 16 years and over - Private wage and salary workers,Number; Estimate; CLASS OF WORKER - Civilian employed population 16 years and over - Government workers,Number; Estimate; CLASS OF WORKER - Civilian employed population 16 years and over - Self-employed workers in own not incorporated business,Number; Estimate; INCOME AND BENEFITS (IN 2008 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars)
3100000US10140,10140,"Aberdeen, WA Micro Area",57802,4.8,8.1,30195,23006,4326,438,1654,69,702,22.7,8535,5858,7788,4577,3302,21718,7488,2089,41464
3100000US10180,10180,"Abilene, TX Metro Area",125237,1.7,2.8,74969,62316,7358,170,1966,1495,1664,17.9,24474,12770,17178,8460,7777,53635,13444,4413,41961
3100000US10300,10300,"Adrian, MI Micro Area",80806,5.7,8.7,46486,37171,4485,0,1517,128,3185,24.5,14040,7976,10151,4603,8471,39165,6333,2339,50369
3100000US10420,10420,"Akron, OH Metro Area",557275,5.1,7.4,346231,292377,25902,5436,9408,2782,10326,22.9,127428,59521,89796,24265,51595,300998,36054,15769,50036
3100000US10500,10500,"Albany, GA Metro Area",125999,5.9,9.7,67604,53192,9252,305,1957,702,2196,18.6,21402,12911,17139,5292,10736,50016,15721,3089,38989
3100000US10540,10540,"Albany-Lebanon, OR Micro Area",90791,3.1,5.1,52676,40380,5367,343,1244,1131,4211,21.9,13135,10445,12183,5868,10707,43495,5290,4848,45571
3100000US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",695334,3.7,5.5,431154,341642,38987,14678,15667,4491,15689,22.7,173808,73581,121502,33603,37233,315021,103302,22520,58765
3100000US10700,10700,"Albertville, AL Micro Area",67991,2.6,4.4,36471,30525,4325,0,400,263,958,24.6,10601,5893,7746,3941,9467,30523,4512,2985,35205
3100000US10740,10740,"Albuquerque, NM Metro Area",653003,3.6,5.5,395827,304071,49451,7948,7387,10600,16370,24.1,149917,63478,104718,40664,41304,300133,78227,23688,47198
