GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC09,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC15,HC01_EST_VC65,HC01_EST_VC66,HC01_EST_VC67,HC01_EST_VC68
Id,Id2,Geography,Number; Estimate; HOUSING OCCUPANCY - Total housing units,"Number; Margin of Error; UNITS IN STRUCTURE - 1-unit, detached","Number; Estimate; UNITS IN STRUCTURE - 1-unit, attached",Number; Estimate; UNITS IN STRUCTURE - 2 units,Number; Estimate; UNITS IN STRUCTURE - 3 or 4 units,Number; Estimate; UNITS IN STRUCTURE - 5 to 9 units,Number; Estimate; UNITS IN STRUCTURE - 10 to 19 units,Number; Estimate; UNITS IN STRUCTURE - 20 or more units,Number; Estimate; VEHICLES AVAILABLE - Occupied housing units - No vehicles available,Number; Estimate; VEHICLES AVAILABLE - Occupied housing units - 1 vehicle available,Number; Estimate; VEHICLES AVAILABLE - Occupied housing units - 2 vehicles available,Number; Estimate; VEHICLES AVAILABLE - Occupied housing units - 3 or more vehicles available
3100000US10140,10140,"Aberdeen, WA Micro Area",34686,1408,534,1044,1752,1231,313,1063,2230,8413,11873,6528
3100000US10180,10180,"Abilene, TX Metro Area",67658,1781,2266,1320,1235,3170,2480,1584,2164,22931,24732,10133
3100000US10300,10300,"Adrian, MI Micro Area",43017,1536,993,1142,1103,1126,647,1133,2249,10965,14971,8999
3100000US10420,10420,"Akron, OH Metro Area",308993,3850,16840,13617,12141,14276,12255,18456,19035,100229,108332,54135
3100000US10500,10500,"Albany, GA Metro Area",69603,2320,1398,5400,4565,4284,1042,767,6073,23282,18448,13090
3100000US10540,10540,"Albany-Lebanon, OR Micro Area",47556,1772,1127,2300,2398,1422,525,1123,2462,12223,17132,10752
3100000US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",381428,4456,14399,51691,28918,19678,12617,20376,29909,120124,136120,51576
3100000US10700,10700,"Albertville, AL Micro Area",38335,1485,393,749,827,1494,207,93,2386,9282,11958,8893
3100000US10740,10740,"Albuquerque, NM Metro Area",363346,4842,17381,5581,19075,15244,10177,24191,20772,113448,128920,68231
3100000US10780,10780,"Alexandria, LA Metro Area",65578,1702,681,3261,1624,1251,1125,621,4444,18815,21877,10308
3100000US10880,10880,"Allegan, MI Micro Area",48602,1439,1570,619,689,1306,984,1093,1598,12011,17922,10117
3100000US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",335169,4019,68332,13560,15085,11414,12141,11950,23584,94044,126564,67017
3100000US11020,11020,"Altoona, PA Metro Area",56255,1529,1337,3672,2464,1742,831,2251,4578,19073,18227,8976
3100000US11100,11100,"Amarillo, TX Metro Area",99256,2159,2688,2627,1991,3278,3953,7003,4822,30035,33590,19652
3100000US11180,11180,"Ames, IA Metro Area",34460,1092,1683,1802,961,1936,3275,5054,2247,9575,14688,6259
3100000US11260,11260,"Anchorage, AK Metro Area",140719,2377,15448,7138,14133,9716,4217,8858,5825,39037,53901,27363
3100000US11300,11300,"Anderson, IN Metro Area",59489,1579,1534,2456,1672,1551,1373,1332,4367,17623,19975,9794
3100000US11340,11340,"Anderson, SC Metro Area",83292,2302,787,2050,1332,2590,1257,841,3750,22253,27041,18684
3100000US11460,11460,"Ann Arbor, MI Metro Area",147525,2954,7618,3911,6715,15550,12670,10660,8686,49191,54318,22602
3100000US11500,11500,"Anniston-Oxford, AL Metro Area",53551,1754,931,1663,2149,1962,993,1300,2651,13838,18729,11422
3100000US11540,11540,"Appleton, WI Metro Area",90523,1730,3295,8341,1268,4082,2772,3883,3341,25584,38593,19049
3100000US11700,11700,"Asheville, NC Metro Area",202053,3862,6444,5568,6886,5525,3541,5315,10255,59401,64880,41602
3100000US11780,11780,"Ashtabula, OH Micro Area",45635,1497,957,1582,1710,1418,1419,1293,3175,11113,15272,8629
3100000US11980,11980,"Athens, TX Micro Area",38338,1622,602,597,1038,1015,0,152,1843,11129,11760,6128
3100000US12020,12020,"Athens-Clarke County, GA Metro Area",83006,2122,1767,4886,4511,5250,4273,5152,3863,20447,23514,19027
3100000US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2153490,11636,107833,38579,49536,119029,159847,156135,110893,633563,746794,400743
3100000US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",127253,2704,9285,6807,5556,8264,4849,15084,13561,36814,36750,13951
3100000US12180,12180,"Auburn, NY Micro Area",35869,1263,109,3772,1720,1472,549,1136,2347,10382,13773,4586
3100000US12220,12220,"Auburn-Opelika, AL Metro Area",62415,1538,1555,3106,1725,2505,3612,3556,2207,20475,20395,12909
3100000US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",228014,3741,7763,4331,9941,11490,4927,4241,13843,66058,74846,43036
3100000US12300,12300,"Augusta-Waterville, ME Micro Area",60246,1717,555,4196,3527,3603,706,1302,4369,16731,18819,8940
3100000US12420,12420,"Austin-Round Rock, TX Metro Area",658422,6738,20801,21309,22263,32182,53618,74020,34847,209062,253095,106676
3100000US12540,12540,"Bakersfield, CA Metro Area",272536,4287,6862,9143,20339,12048,4138,7279,17802,73553,96547,56284
3100000US12580,12580,"Baltimore-Towson, MD Metro Area",1110289,6239,324499,24360,29806,59747,91634,67799,109265,325202,368924,201992
3100000US12620,12620,"Bangor, ME Metro Area",70988,2056,950,3421,4961,3812,1495,1354,4241,18784,25934,12504
3100000US12700,12700,"Barnstable Town, MA Metro Area",156141,2666,4428,5053,5439,3428,2565,3472,4512,35947,38432,14136
3100000US12940,12940,"Baton Rouge, LA Metro Area",327140,4489,5334,7836,15532,12427,13546,16720,20005,104282,116577,52751
3100000US12980,12980,"Battle Creek, MI Metro Area",60755,1384,930,1519,2056,1880,3759,4286,4596,19276,20426,8326
3100000US13020,13020,"Bay City, MI Metro Area",48201,1569,974,2970,1111,2070,978,1543,3238,13017,18171,8918
3100000US13140,13140,"Beaumont-Port Arthur, TX Metro Area",164861,4371,2622,2693,3359,8062,4532,5941,9884,50693,60330,25792
3100000US13180,13180,"Beaver Dam, WI Micro Area",36779,1373,1218,2482,1576,1375,1423,1176,1137,11324,14280,7820
3100000US13220,13220,"Beckley, WV Micro Area",37057,1725,525,548,607,1494,120,1097,3592,10884,12977,4941
3100000US13380,13380,"Bellingham, WA Metro Area",87576,2608,2152,4147,3341,3871,4909,7222,5391,24690,28509,17441
