GEO.id,GEO.id2,GEO.display-label,HC01_VC20,HC01_VC134
Id,Id2,Geography,Estimate; HOUSEHOLDS BY TYPE - Average household size,Estimate; PLACE OF BIRTH - Foreign born
310M100US10140,10140,"Aberdeen, WA Micro Area",2.72,4754
310M100US10180,10180,"Abilene, TX Metro Area",2.55,8631
310M100US10300,10300,"Adrian, MI Micro Area",2.46,2526
310M100US10420,10420,"Akron, OH Metro Area",2.49,26902
310M100US10460,10460,"Alamogordo, NM Micro Area",2.5,8463
310M100US10500,10500,"Albany, GA Metro Area",2.69,2706
310M100US10540,10540,"Albany-Lebanon, OR Micro Area",2.57,5833
310M100US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",2.42,54708
310M100US10700,10700,"Albertville, AL Micro Area",2.76,7232
310M100US10740,10740,"Albuquerque, NM Metro Area",2.57,86199
310M100US10780,10780,"Alexandria, LA Metro Area",2.83,4343
310M100US10880,10880,"Allegan, MI Micro Area",2.69,5212
310M100US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2.57,67327
310M100US11020,11020,"Altoona, PA Metro Area",2.43,1484
310M100US11100,11100,"Amarillo, TX Metro Area",2.6,20623
310M100US11180,11180,"Ames, IA Metro Area",2.35,6738
310M100US11260,11260,"Anchorage, AK Metro Area",2.7,31638
310M100US11300,11300,"Anderson, IN Metro Area",2.5,2310
310M100US11340,11340,"Anderson, SC Metro Area",2.57,3911
310M100US11460,11460,"Ann Arbor, MI Metro Area",2.46,41722
310M100US11500,11500,"Anniston-Oxford, AL Metro Area",2.58,2309
310M100US11540,11540,"Appleton, WI Metro Area",2.58,9170
310M100US11700,11700,"Asheville, NC Metro Area",2.32,22718
310M100US11780,11780,"Ashtabula, OH Micro Area",2.49,1221
310M100US11980,11980,"Athens, TX Micro Area",2.63,4564
310M100US12020,12020,"Athens-Clarke County, GA Metro Area",2.77,14595
310M100US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2.78,711185
310M100US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",2.67,45944
310M100US12180,12180,"Auburn, NY Micro Area",2.41,1836
310M100US12220,12220,"Auburn-Opelika, AL Metro Area",2.46,7416
