"","NAME","metropolitan.statistical.area.micropolitan.statistical.area","DP02_0086E","DP04_0058PE","DP04_0059PE","DP04_0060PE","DP04_0061PE","DP02_0001E","DP02_0015E","DP04_0006E","DP04_0007E","DP04_0008E","DP04_0009E","DP04_0010E","DP04_0011E","DP04_0012E","DP04_0013E","DP03_0062E","DP02_0092E","DP05_0032PE","DP05_0033PE","DP05_0034PE","DP05_0039PE","DP05_0047PE","DP05_0052PE","DP05_0053PE","DP05_0066PE","DP03_0018E","DP03_0019PE","DP03_0020PE","DP03_0021PE","DP03_0022PE","DP03_0023PE","DP03_0024PE","DP03_0025E","DP03_0026E","DP03_0047PE","DP03_0048PE","DP03_0049PE","DP03_0009PE","DP03_0027PE","DP03_0028PE","DP03_0029PE","DP03_0030PE","DP03_0031PE"
"1","Aberdeen, WA Micro Area","10140",71122,8.5,33.4,34.6,23.6,27430,2.51,35300,25386,238,834,673,1363,792,1499,44122,3163,87.5,0.9,4.3,1.6,0.3,0.8,4.6,10.1,26813,76.6,15.8,1.8,1.5,2.2,2.1,23.3,27155,69.2,24.1,6.4,12.6,27,26.5,22,10.3,14.3
"2","Abilene, TX Metro Area","10180",168922,5.1,35.2,41.5,18.2,59372,2.6,70595,50501,1768,2050,2241,2451,2901,1994,47420,8726,77.3,7.8,0.6,1.3,0,9.7,3.4,23.4,76453,83.8,10.3,0.3,1.6,1.2,2.8,15.6,73064,77.8,15.7,6.2,4.1,30.6,21.9,23.4,10.9,13.3
"3","Adrian, MI Micro Area","10300",98573,3.2,33.7,36.7,26.4,37016,2.52,43449,36053,904,761,699,957,408,838,48279,2028,92,2.8,0.8,0.4,0.2,1.4,2.4,7.6,41032,82.5,9.6,0.3,3.2,0.6,3.9,29.6,41947,82,12,5.8,5.9,27.6,16.9,23.8,10.1,21.7
"4","Aguadilla-Isabela, PR Metro Area","10380",NA,17.2,43.3,28.5,11,NA,NA,146720,106607,17155,9196,4571,3588,2564,2895,14485,NA,74.8,2.7,0.1,0.3,0,17.7,4.4,97.6,78215,83.8,10.7,0.3,2.8,0.8,1.4,25.3,80064,68.1,23.5,8.3,25.7,30.8,23,27.1,9.6,9.4
"5","Akron, OH Metro Area","10420",704243,8.4,33.9,38.8,18.9,282456,2.44,313518,215636,18820,12473,11621,16010,13816,17739,51580,35145,82,11.9,0.1,2.6,0,0.3,2.9,1.9,337334,85.3,7.3,1.9,1.7,0.6,3.1,24.3,344296,84.5,10.7,4.7,6.1,37.4,17.2,25.4,6.2,13.9
"6","Alamogordo, NM Micro Area","10460",64362,8.2,34,39.9,18,23919,2.54,30925,17129,1086,292,934,330,122,123,36142,7591,77.5,3.8,7.5,0.9,0,8.6,1.7,37.4,24156,74.1,17.8,2.1,2,1.5,2.5,17.7,22762,63.9,28.1,7.2,8.1,23.4,25.2,27.4,16.9,7.1
"7","Albany, GA Metro Area","10500",156997,11.1,37.4,32,19.5,57597,2.63,66857,42170,1809,5547,2516,4364,1589,927,40143,3410,43.1,53.9,0.3,0.7,0,0.2,1.8,2.7,60053,81.1,12.2,1.9,1.5,0.1,3.1,20.8,60786,72.7,22.6,4.6,12.6,35.3,16.2,23.2,9,16.2
"8","Albany, OR Metro Area","10540",120547,6.5,33.6,34.1,25.7,46315,2.58,49174,32353,1680,2005,1508,2276,1113,2333,47527,4980,91.9,0.1,0.9,1,0.1,1.7,4.3,8.7,48112,78.2,11.6,0.4,3.5,1,5.3,21.8,49437,75.4,19,5.4,9.6,30.9,18.8,19.2,12.7,18.4
"9","Albany-Schenectady-Troy, NY Metro Area","10580",881830,9.6,36.8,37.3,16.4,342766,2.48,398555,222123,13929,52207,32488,23440,14076,23686,63080,65466,83.4,7.5,0.1,4.3,0,1.4,3.2,5,437973,79.3,8.3,3.7,3.3,1.2,4.1,23.5,444595,73,22.2,4.7,5.2,42.1,17.4,25.2,6.7,8.6
"10","Albertville, AL Micro Area","10700",94725,3.5,33.4,38.2,24.9,33972,2.76,40324,31212,255,659,1005,1475,201,306,40525,7129,93.8,2.7,0.2,0,0.1,1,2.1,13,39160,83.8,11.3,0.1,1.1,0.6,3,25.8,39334,79.4,14.7,5.8,4.3,26.8,13.8,25,13.5,20.8
