ntdid,name,mode,tos,exp_type,total
0001,NA,DR,PT,Vehicle Operations                                ,29184324
0001,NA,DR,PT,Vehicle Maintenance                               ,6504150
0001,NA,DR,PT,Non-Vehicle Maintenance                           ,652488
0001,NA,DR,PT,General Administration                            ,19667624
0001,NA,DR,PT,Total                                             ,56008586
0001,NA,DT,PT,Vehicle Operations                                ,375674
0001,NA,DT,PT,Vehicle Maintenance                               ,94032
0001,NA,DT,PT,Non-Vehicle Maintenance                           ,9306
0001,NA,DT,PT,General Administration                            ,226148
0001,NA,DT,PT,Total                                             ,421252
0001,NA,LR,DO,Vehicle Operations                                ,1330207
0001,NA,LR,DO,Vehicle Maintenance                               ,332163
0001,NA,LR,DO,Non-Vehicle Maintenance                           ,106499
0001,NA,LR,DO,General Administration                            ,512524
0001,NA,LR,DO,Total                                             ,0
0001,NA,LR,PT,Vehicle Operations                                ,10438402
0001,NA,LR,PT,Vehicle Maintenance                               ,3757837
0001,NA,LR,PT,Non-Vehicle Maintenance                           ,7115901
0001,NA,LR,PT,General Administration                            ,1855071
0001,NA,LR,PT,Total                                             ,0
0001,NA,MB,DO,Vehicle Operations                                ,227533054
0001,NA,MB,DO,Vehicle Maintenance                               ,68887215
0001,NA,MB,DO,Non-Vehicle Maintenance                           ,18730283
0001,NA,MB,DO,General Administration                            ,64039386
0001,NA,MB,DO,Total                                             ,0
0001,NA,MB,PT,Vehicle Operations                                ,32525126
0001,NA,MB,PT,Vehicle Maintenance                               ,11304789
0001,NA,MB,PT,Non-Vehicle Maintenance                           ,2125299
0001,NA,MB,PT,General Administration                            ,7148371
0001,NA,MB,PT,Total                                             ,0
0001,NA,TB,DO,Vehicle Operations                                ,31246263
0001,NA,TB,DO,Vehicle Maintenance                               ,10831306
0001,NA,TB,DO,Non-Vehicle Maintenance                           ,6718684
0001,NA,TB,DO,General Administration                            ,9367791
0001,NA,TB,DO,Total                                             ,0
0001,NA,VP,DO,Vehicle Operations                                ,2342137
0001,NA,VP,DO,Vehicle Maintenance                               ,1709856
0001,NA,VP,DO,Non-Vehicle Maintenance                           ,56041
