"","GEOID.msa","y.2012.DP02_0086E","y.2012.DP04_0058PE","y.2012.DP04_0059PE","y.2012.DP04_0060PE","y.2012.DP04_0061PE","y.2012.DP02_0001E","y.2012.DP02_0015E","y.2012.DP04_0006E","y.2012.DP04_0007E","y.2012.DP04_0008E","y.2012.DP04_0009E","y.2012.DP04_0010E","y.2012.DP04_0011E","y.2012.DP04_0012E","y.2012.DP04_0013E","y.2012.DP03_0062E","y.2012.DP02_0092E","y.2012.DP05_0032PE","y.2012.DP05_0033PE","y.2012.DP05_0034PE","y.2012.DP05_0039PE","y.2012.DP05_0047PE","y.2012.DP05_0052PE","y.2012.DP05_0053PE","y.2012.DP05_0066PE","y.2012.DP03_0018E","y.2012.DP03_0019PE","y.2012.DP03_0020PE","y.2012.DP03_0021PE","y.2012.DP03_0022PE","y.2012.DP03_0023PE","y.2012.DP03_0024PE","y.2012.DP03_0025E","y.2012.DP03_0026E","y.2012.DP03_0047PE","y.2012.DP03_0048PE","y.2012.DP03_0049PE","y.2012.DP03_0009PE","y.2012.DP03_0027PE","y.2012.DP03_0028PE","y.2012.DP03_0029PE","y.2012.DP03_0030PE","y.2012.DP03_0031PE","y.2013.DP02_0086E","y.2013.DP04_0058PE","y.2013.DP04_0059PE","y.2013.DP04_0060PE","y.2013.DP04_0061PE","y.2013.DP02_0001E","y.2013.DP02_0015E","y.2013.DP04_0006E","y.2013.DP04_0007E","y.2013.DP04_0008E","y.2013.DP04_0009E","y.2013.DP04_0010E","y.2013.DP04_0011E","y.2013.DP04_0012E","y.2013.DP04_0013E","y.2013.DP03_0062E","y.2013.DP02_0092E","y.2013.DP05_0032PE","y.2013.DP05_0033PE","y.2013.DP05_0034PE","y.2013.DP05_0039PE","y.2013.DP05_0047PE","y.2013.DP05_0052PE","y.2013.DP05_0053PE","y.2013.DP05_0066PE","y.2013.DP03_0018E","y.2013.DP03_0019PE","y.2013.DP03_0020PE","y.2013.DP03_0021PE","y.2013.DP03_0022PE","y.2013.DP03_0023PE","y.2013.DP03_0024PE","y.2013.DP03_0025E","y.2013.DP03_0026E","y.2013.DP03_0047PE","y.2013.DP03_0048PE","y.2013.DP03_0049PE","y.2013.DP03_0009PE","y.2013.DP03_0027PE","y.2013.DP03_0028PE","y.2013.DP03_0029PE","y.2013.DP03_0030PE","y.2013.DP03_0031PE","y.2014.DP02_0086E","y.2014.DP04_0058PE","y.2014.DP04_0059PE","y.2014.DP04_0060PE","y.2014.DP04_0061PE","y.2014.DP02_0001E","y.2014.DP02_0015E","y.2014.DP04_0006E","y.2014.DP04_0007E","y.2014.DP04_0008E","y.2014.DP04_0009E","y.2014.DP04_0010E","y.2014.DP04_0011E","y.2014.DP04_0012E","y.2014.DP04_0013E","y.2014.DP03_0062E","y.2014.DP02_0092E","y.2014.DP05_0032PE","y.2014.DP05_0033PE","y.2014.DP05_0034PE","y.2014.DP05_0039PE","y.2014.DP05_0047PE","y.2014.DP05_0052PE","y.2014.DP05_0053PE","y.2014.DP05_0066PE","y.2014.DP03_0018E","y.2014.DP03_0019PE","y.2014.DP03_0020PE","y.2014.DP03_0021PE","y.2014.DP03_0022PE","y.2014.DP03_0023PE","y.2014.DP03_0024PE","y.2014.DP03_0025E","y.2014.DP03_0026E","y.2014.DP03_0047PE","y.2014.DP03_0048PE","y.2014.DP03_0049PE","y.2014.DP03_0009PE","y.2014.DP03_0027PE","y.2014.DP03_0028PE","y.2014.DP03_0029PE","y.2014.DP03_0030PE","y.2014.DP03_0031PE","y.2015.DP02_0086E","y.2015.DP04_0058PE","y.2015.DP04_0059PE","y.2015.DP04_0060PE","y.2015.DP04_0061PE","y.2015.DP02_0001E","y.2015.DP02_0015E","y.2015.DP04_0006E","y.2015.DP04_0007E","y.2015.DP04_0008E","y.2015.DP04_0009E","y.2015.DP04_0010E","y.2015.DP04_0011E","y.2015.DP04_0012E","y.2015.DP04_0013E","y.2015.DP03_0062E","y.2015.DP02_0092E","y.2015.DP05_0032PE","y.2015.DP05_0033PE","y.2015.DP05_0034PE","y.2015.DP05_0039PE","y.2015.DP05_0047PE","y.2015.DP05_0052PE","y.2015.DP05_0053PE","y.2015.DP05_0066PE","y.2015.DP03_0018E","y.2015.DP03_0019PE","y.2015.DP03_0020PE","y.2015.DP03_0021PE","y.2015.DP03_0022PE","y.2015.DP03_0023PE","y.2015.DP03_0024PE","y.2015.DP03_0025E","y.2015.DP03_0026E","y.2015.DP03_0047PE","y.2015.DP03_0048PE","y.2015.DP03_0049PE","y.2015.DP03_0009PE","y.2015.DP03_0027PE","y.2015.DP03_0028PE","y.2015.DP03_0029PE","y.2015.DP03_0030PE","y.2015.DP03_0031PE"
"1",10140,71692,31.5,35.2,27.5,27880,27880,2.45,35230,26547,558,565,697,1136,287,1025,42057,4163,87.4,1.4,4.5,1.9,0.1,2,2.7,9.2,25387,77.3,12.6,1.9,2.1,2.5,3.7,24.8,26333,70.4,23.9,5.6,16.4,22.8,26.9,23.1,9.8,17.4,71078,27.6,42.4,21.9,26815,26815,2.52,35090,25232,978,641,594,800,829,1385,41315,3483,87.7,1.9,4.5,1.4,1.3,0.9,2.4,9.6,24705,77.4,14.2,0.7,2.5,1.2,3.9,24,25130,72.5,19.5,7.8,14.9,22.7,23.4,26.7,13.9,13.2,70818,33.5,36.8,24,27401,27401,2.47,35248,25372,328,753,1134,971,1564,750,43356,4014,88.7,1.2,4.5,1.8,0.1,0.2,3.5,9.8,25710,74.7,12.9,1.7,1.3,1.4,8,25,25898,69.3,19.9,10.6,12.2,27,25,25,10.7,12.3,71122,8.5,33.4,34.6,23.6,27430,2.51,35300,25386,238,834,673,1363,792,1499,44122,3163,87.5,0.9,4.3,1.6,0.3,0.8,4.6,10.1,26813,76.6,15.8,1.8,1.5,2.2,2.1,23.3,27155,69.2,24.1,6.4,12.6,27,26.5,22,10.3,14.3
"2",10180,167800,35,41.2,18.4,60066,60066,2.59,70553,51306,2094,2006,2219,3413,1869,1913,43407,8656,83.3,7.9,0.3,1.5,0,5,2,21.3,69290,80.3,11.7,1.2,2.6,1.9,2.3,17.8,68183,72.9,19.3,7.1,6.8,29.5,21.4,25.9,12.6,10.6,168144,36.9,36.9,20.6,60588,60588,2.56,69699,49562,1921,1443,3483,3107,2865,2007,44149,7962,82.4,7.8,0.3,1.4,0.1,5.3,2.7,22.6,75337,79.7,14.5,0.4,2.1,1.2,2.1,16.9,73159,76.9,17.1,5.9,5.3,28.7,23,26.4,12.9,9.1,166900,37,41.6,18,59932,59932,2.56,70507,50534,1166,2521,1662,3086,2743,2687,44303,6903,78.3,7.4,0.9,1.5,0.1,8.7,3.1,23.1,75521,80.9,10,0.4,3.3,1,4.3,17,73410,78.4,14.7,6.5,5.1,29,19.1,25.8,12.7,13.5,168922,5.1,35.2,41.5,18.2,59372,2.6,70595,50501,1768,2050,2241,2451,2901,1994,47420,8726,77.3,7.8,0.6,1.3,0,9.7,3.4,23.4,76453,83.8,10.3,0.3,1.6,1.2,2.8,15.6,73064,77.8,15.7,6.2,4.1,30.6,21.9,23.4,10.9,13.3
"3",10300,98987,31.2,41.9,21.6,37998,37998,2.46,43395,33260,1062,1397,1466,1035,1022,1106,48224,1569,93.2,2.4,0.7,0.3,0,1.1,2.3,7.6,40600,85.2,8.6,0.2,2.8,0.4,2.9,26.5,41879,82.7,12.5,4.6,10.9,30.9,19.9,22.9,9,17.3,99188,31.1,42.6,20.7,37270,37270,2.52,43294,34810,948,1538,849,991,550,698,45938,2166,92.4,3.5,0.3,0.3,0.2,1.1,2.3,7.7,42658,82.9,10.4,0.5,2.9,0.8,2.5,25.4,43845,81.5,12.9,5.4,8.9,24.5,19.3,26.4,9.8,20,99047,27.9,43.5,22.2,38483,38483,2.44,43454,34215,1268,1264,1341,1297,703,628,46739,1655,92,2.6,0.2,0.3,0,2.2,2.7,7.7,43574,79.7,12.2,0.3,2.9,1.3,3.7,26.8,44259,83.4,10.9,5.7,6.7,29.8,20.4,22.5,8.6,18.6,98573,3.2,33.7,36.7,26.4,37016,2.52,43449,36053,904,761,699,957,408,838,48279,2028,92,2.8,0.8,0.4,0.2,1.4,2.4,7.6,41032,82.5,9.6,0.3,3.2,0.6,3.9,29.6,41947,82,12,5.8,5.9,27.6,16.9,23.8,10.1,21.7
"4",10420,702262,35.2,39.4,16.9,280887,280887,2.45,312864,219447,18222,13261,10316,14801,13007,17450,49731,30363,83.1,11.7,0.1,2.1,0,0.2,2.7,1.7,325710,86.1,7.3,1.3,1.6,0.8,3,23.1,333603,83,12.2,4.7,9.6,35.4,17.3,25.7,7.2,14.4,705686,34.8,38.5,18.7,281324,281324,2.45,312382,215734,17681,12471,12444,15481,13358,18933,49984,35031,82.7,12.1,0.2,2.3,0,0.4,2.4,1.8,333414,85.9,6.4,1.7,1.8,0.5,3.5,23.1,342020,84.6,11.2,4,9.4,34.6,18.7,25,7.5,14.2,703825,34,39.1,18.7,283364,283364,2.43,313241,213856,15537,16119,12536,14628,13273,19259,50538,28792,82.2,12.1,0.3,2.6,0,0.5,2.3,1.9,340491,86,6.8,1.7,1.6,0.6,3.2,22.9,347452,84,11.3,4.5,7.1,36.8,16.8,25.6,6.5,14.3,704243,8.4,33.9,38.8,18.9,282456,2.44,313518,215636,18820,12473,11621,16010,13816,17739,51580,35145,82,11.9,0.1,2.6,0,0.3,2.9,1.9,337334,85.3,7.3,1.9,1.7,0.6,3.1,24.3,344296,84.5,10.7,4.7,6.1,37.4,17.2,25.4,6.2,13.9
"5",10460,66041,25.4,42,26.4,NA,22769,2.79,31010,20196,829,396,379,637,271,158,40583,5999,74.6,3.7,7.2,1.5,0,8.5,4.5,35.3,23180,74.6,18.4,0.4,2.8,1.6,2.2,19.4,NA,63.3,32.1,4.1,17,NA,NA,NA,NA,NA,65616,25.4,39.9,26.6,23176,23176,2.68,30775,20799,1038,226,921,73,311,86,44102,9764,77.7,3.1,6.6,1.3,0.1,7.6,3.5,35.6,24372,76.7,15,0.3,4,1,3,18.3,22399,62,32.2,5.7,16.5,28.6,26.7,23.1,14,7.5,65082,35.3,38.9,20.3,23190,23190,2.67,30969,20043,1102,392,435,347,412,47,42603,8216,75.8,3.7,7,1.4,0.3,7.9,3.8,36.5,25374,80.3,13.4,0.3,2.5,0.7,2.8,18.4,22875,61.3,31.1,7.1,9.8,27.3,24.9,26.5,16.2,5,64362,8.2,34,39.9,18,23919,2.54,30925,17129,1086,292,934,330,122,123,36142,7591,77.5,3.8,7.5,0.9,0,8.6,1.7,37.4,24156,74.1,17.8,2.1,2,1.5,2.5,17.7,22762,63.9,28.1,7.2,8.1,23.4,25.2,27.4,16.9,7.1
"6",10500,155019,39,35.4,16,57699,57699,2.57,65861,39616,1205,6933,3960,4282,1038,1176,34469,3599,44.3,52.6,0.1,1.1,0,0.9,0.9,2.3,58769,79.5,12.7,1,2.9,1.2,2.8,20.7,59583,71.2,23.3,5.4,16.2,30.2,18.9,25.1,9.3,16.4,156277,37.2,34.5,17,56505,56505,2.65,66184,41954,1999,4190,4416,3494,1325,470,34756,4650,43,53.7,0.2,1,0,0.8,1.4,2.2,57898,81.9,10.5,0.9,1.2,0.5,5.1,20.3,58828,73.2,21.6,5.1,15.6,31.3,19.2,23.6,9.4,16.6,152596,35.5,34.5,19.1,57795,57795,2.54,66262,41489,1637,5792,2336,4436,1306,939,39071,3139,44.3,52.2,0,0.8,0,0.9,1.8,2.6,58864,82.3,9,1.2,1.9,0.5,5,20.6,59482,71.4,24.4,4.3,12.7,29.7,19.9,24.7,9.9,15.8,156997,11.1,37.4,32,19.5,57597,2.63,66857,42170,1809,5547,2516,4364,1589,927,40143,3410,43.1,53.9,0.3,0.7,0,0.2,1.8,2.7,60053,81.1,12.2,1.9,1.5,0.1,3.1,20.8,60786,72.7,22.6,4.6,12.6,35.3,16.2,23.2,9,16.2
"7",10540,118360,24.9,40.4,27.6,43905,43905,2.67,48926,31926,1577,2324,2063,1444,1045,1646,43489,4736,92.8,0.6,2,1.2,0,1.1,2.3,8.1,47565,80.1,10.3,0.5,3.2,1.7,4.1,22.9,47928,78.4,14.6,7.1,11.4,26,17.3,23,11.2,22.5,118765,31.5,36.7,26.1,43911,43911,2.68,48832,34260,1186,2112,2104,1329,1450,1912,45130,4546,93.4,0.2,1.2,1.6,0.2,0.6,2.7,8.2,47962,77.9,11.3,0.2,2.3,2.2,6.1,22.3,48787,78.4,13.1,8.2,11.1,26.4,20.8,24.5,12.3,15.9,119356,28.9,37.3,28.8,45907,45907,2.57,49304,34963,841,1427,2667,1923,461,1233,43428,3965,92.2,0.3,2.1,1.1,0,2,2.4,8.4,47060,76.9,10.7,1.1,2.7,2.9,5.6,23.9,48173,78.7,15.2,6,11.2,28.7,18.4,23.8,11.6,17.6,120547,6.5,33.6,34.1,25.7,46315,2.58,49174,32353,1680,2005,1508,2276,1113,2333,47527,4980,91.9,0.1,0.9,1,0.1,1.7,4.3,8.7,48112,78.2,11.6,0.4,3.5,1,5.3,21.8,49437,75.4,19,5.4,9.6,30.9,18.8,19.2,12.7,18.4
"8",10580,874646,36.3,37.9,15.7,342705,342705,2.46,394602,224312,14091,53441,32270,20251,14583,22427,60625,60142,84.6,7.6,0.1,3.3,0,1.2,3.2,4.5,422420,79.6,8.1,3.2,4.1,1.4,3.6,22.5,429419,73.6,21.6,4.7,8,40.9,17.3,26,7.5,8.3,877905,36,37.5,16.4,347942,347942,2.43,394983,230304,14337,49459,28925,20897,14422,22604,59626,64828,84.4,7.9,0.2,3.7,0.1,1.1,2.6,4.7,423582,80.4,7.7,3.4,3.3,1.1,4.1,22.4,432169,74.3,20.7,4.9,7.5,41.2,17,25.4,7.3,9,880167,36.5,37.9,16.4,347291,347291,2.44,397239,224920,13814,55324,30288,22399,15061,20497,62265,61494,83.8,7.6,0.1,4,0,1.3,3.2,4.9,435735,79.8,7.6,3.5,4.3,1,3.7,22.5,442927,74.8,20.8,4.2,5.9,43,16.4,24,7,9.6,881830,9.6,36.8,37.3,16.4,342766,2.48,398555,222123,13929,52207,32488,23440,14076,23686,63080,65466,83.4,7.5,0.1,4.3,0,1.4,3.2,5,437973,79.3,8.3,3.7,3.3,1.2,4.1,23.5,444595,73,22.2,4.7,5.2,42.1,17.4,25.2,6.7,8.6
"9",10700,94776,34.5,35.6,24.3,33802,33802,2.77,40356,30479,328,793,719,1435,213,570,36197,6689,90.6,2.1,0.4,0.6,0,4.9,1.3,12.8,36402,80.5,14.3,0.2,0.9,0.8,3.3,23.1,37428,77,16.8,6.2,9.7,28.7,13.1,26.7,9.3,22.2,94760,31.8,34.2,26.6,NA,33738,2.78,40158,31745,84,853,647,928,227,465,38116,7847,93.3,1.6,1.3,0.3,0,0.9,2.7,12.9,36641,83.5,12.7,0.1,0.8,0.3,2.5,21.9,38530,79.9,14.5,5.3,9.4,28.7,12.7,21.1,15.8,21.8,94636,31,39.2,24.2,34872,34872,2.68,40333,27497,344,1438,1119,1038,431,365,33446,6436,90.6,2.4,0.3,0.5,0,4.5,1.7,12.9,37159,81,13.7,0.3,1.9,0.4,2.8,24.2,37971,78.5,13.2,8.3,7,27.4,17.8,22.1,13.1,19.6,94725,3.5,33.4,38.2,24.9,33972,2.76,40324,31212,255,659,1005,1475,201,306,40525,7129,93.8,2.7,0.2,0,0.1,1,2.1,13,39160,83.8,11.3,0.1,1.1,0.6,3,25.8,39334,79.4,14.7,5.8,4.3,26.8,13.8,25,13.5,20.8
"10",10740,902794,35.1,37.8,21.1,344869,344869,2.58,377011,251975,17254,5644,17120,12636,16083,25213,46725,84806,70.1,2.7,5.5,1.9,0.1,15.9,3.8,47.4,394926,80.2,10,1.7,1.8,1.9,4.4,23,398325,73.7,20.7,5.5,9,38.8,19.4,23.7,9.9,8.2,901932,35.2,37.4,21.9,336614,336614,2.64,376330,249781,20195,4560,16378,12327,17107,24153,48355,90168,77.1,2.7,5.4,2.2,0.1,8.8,3.9,47.9,397306,80,9.3,1.5,1.8,3.2,4.1,22.8,402003,73.2,20.3,6,8.1,38.2,19.3,23.9,10.1,8.6,905213,33.7,39.3,20.9,342552,342552,2.61,380455,254672,18692,4941,17238,13935,15707,22019,47581,85481,72.4,2.4,5.9,2.1,0,12.9,4.3,47.9,398379,80.1,8.9,2.2,1.8,2.6,4.5,23.6,401350,74.5,19.7,5.6,8.9,39.7,19.7,23,9.3,8.3,906209,6.5,33.8,37.9,21.7,342590,2.61,381558,253911,17678,6179,17294,13518,12960,25751,48937,89118,71.6,2.9,5.9,2,0.1,13.2,4.4,48.3,402525,82.3,7.7,1.3,2,1.8,4.8,23.3,405223,75,19.5,5.5,6.9,38.2,21,23.9,9.3,7.7
