"","GEOID.msa","name","category","change.total_expenses","change.revenue_miles","change.revenue_hours","change.upt","change.fares","change.average_speed","change.avg_fare"
"1",10180,"Abilene, TX","bus",22391,-17137,-1498,3963,-201795,0.135984102874701,-0.398307644024941
"2",10180,"Abilene, TX","other",726777,-80582,-6962,-28172,-93789,0.491877671598576,-0.846876213351152
"3",10420,"Akron, OH","bus",5690367,1481546,83558,-346700,2926430,1.40232151410561,0.484319849592385
"4",10420,"Akron, OH","other",2587600,-14148,-1660,66427,465269,0.06073435337116,0.929899257890006
"5",10500,"Albany, GA","bus",-2320,63210,3055,598,175639,0.342416459586509,0.246047562299364
"6",10500,"Albany, GA","other",597886,-42270,-2425,-8746,8251,-1.00469515980745,1.32902502005346
"7",10580,"Albany-Schenectady-Troy, NY","bus",16353156,721961,75641,3669885,6031652,-0.290612561948871,0.203255136826496
"8",10580,"Albany-Schenectady-Troy, NY","other",14695911,-39512,-23792,-51127,577185,4.47230179069835,5.61120389728762
"9",10740,"Albuquerque, NM","bus",22702698,2111027,150142,4785113,2854151,-0.809124375303227,0.0674442747414808
"10",10740,"Albuquerque, NM","other",7953388,200368,17519,73053,-813,-0.991148402202182,-0.551031629777305
"11",10780,"Alexandria, LA","bus",474895,89796,4361,11746,122241,0.676017021879462,0.169603647124058
"12",10780,"Alexandria, LA","other",402778,-42742,-1200,-2260,5167,-3.55905976376565,0.365564102966174
"13",10900,"Allentown-Bethlehem-Easton, PA-NJ","bus",4687261,-3145314,-38531,-1123221,-10866873,-10.1405523798881,-1.61514360163638
"14",10900,"Allentown-Bethlehem-Easton, PA-NJ","other",4164920,172653,10550,-55621,126613,-0.17863210850971,0.449362690077661
"15",11020,"Altoona, PA","bus",-123900,-58650,-1762,-102585,139469,-0.883124390799516,0.391482723957521
"16",11020,"Altoona, PA","other",213631,24437,1792,4220,17549,1.03902358351756,0.526489602937005
"17",11180,"Ames, IA","bus",1085455,241443,27422,2536858,4184039,-0.430626171774376,0.604515980077952
"18",11180,"Ames, IA","other",145681,10228,1092,851,5060,-0.201030515406877,0.3693293673211
"19",11260,"Anchorage, AK","bus",2972579,-219869,6960,-298530,729987,-2.01935509535093,0.27171803860767
"20",11260,"Anchorage, AK","other",4130243,590614,31082,92657,2158578,-0.518174585447298,4.49087745016409
"21",11260,"Anchorage, AK",NA,245247,1041864,37844,57989,18588620,8.87003171403864,100.595104865669
"22",11460,"Ann Arbor, MI","bus",950418,404551,46381,2564136,-97184,-0.443728249589471,-0.0796815046893234
"23",11460,"Ann Arbor, MI","other",3663160,-322639,-34434,-39469,-85977,1.24730726716959,0.0141927924840788
"24",11540,"Appleton, WI","bus",239383,82105,5589,83115,136438,-0.0879055130367039,0.0738077130148199
"25",11540,"Appleton, WI","other",2243017,99904,-12540,31366,324923,7.27580336371406,1.5168011576493
"26",11700,"Asheville, NC","bus",1195344,108860,6122,308969,-49562,0.31802921734727,-0.166634454106677
"27",11700,"Asheville, NC","other",400608,-198237,-10799,-24244,-34973,NA,NA
"28",12020,"Athens-Clarke County, GA","bus",7866606,924248,121392,11502967,7843183,-3.80826227458314,-0.246084477877956
"29",12020,"Athens-Clarke County, GA","other",660925,26634,8047,9997,17720,-5.25509236321865,-0.22178197099033
"30",12060,"Atlanta-Sandy Springs-Roswell, GA","bus",59822641,-3140367,-128906,-11214549,9216373,-0.65267347996676,0.260879218862859
"31",12060,"Atlanta-Sandy Springs-Roswell, GA","other",38113495,3281452,152045,229262,3659127,-0.126832573291612,1.92023948273739
"32",12060,"Atlanta-Sandy Springs-Roswell, GA","rail",34504398,18195882,679340,3327483,32108913,0.95239899727045,0.412120352881007
"33",12220,"Auburn-Opelika, AL","other",923517,343981,25487,39265,-337259,-4.21817130661718,-7.05031775232043
"34",12260,"Augusta-Richmond County, GA-SC","bus",-75564,-77407,-5177,-151155,60343,-0.209271544782705,0.195439475525998
"35",12260,"Augusta-Richmond County, GA-SC","other",336394,40058,869,5615,16807,2.41755333968796,0.102404534529547
"36",12420,"Austin-Round Rock, TX","bus",12544299,765867,119998,-2202755,14334833,-0.651695008109646,0.454083816505681
"37",12420,"Austin-Round Rock, TX","other",32529511,2845058,173896,73400,1025867,-0.0909536593066065,0.985143503709734
"38",12540,"Bakersfield, CA","bus",2427012,-43463,-7862,-1038482,204865,0.211212488638415,0.150906554605014
"39",12540,"Bakersfield, CA","other",1093293,-18484,5392,-8910,27807,-3.58282411607169,0.748007320118602
"40",12580,"Baltimore-Columbia-Towson, MD","bus",98214630,1094704,22830,139360,-1817384,0.396240855036137,-0.0221743633524707
"41",12580,"Baltimore-Columbia-Towson, MD","other",78132462,6261892,476734,793840,203655,-0.326991081725863,-0.434769210416162
"42",12580,"Baltimore-Columbia-Towson, MD","rail",6870721,5872684,257706,2744314,3732099,1.25386486334411,0.0598026096957034
"43",12620,"Bangor, ME","bus",329279,55519,5384,141084,-484810,-0.315553347046857,-0.6488886271497
"44",12620,"Bangor, ME","other",463411,-22229,-1308,-2730,-3596,NA,NA
"45",12700,"Barnstable Town, MA","bus",1923511,414474,49380,288239,-571781,-4.73294932483595,-3.39290601661859
"46",12700,"Barnstable Town, MA","other",5036993,1155231,49634,102318,3132029,1.04915877477302,5.53144684765399
"47",12940,"Baton Rouge, LA","bus",-8896704,-1044642,-4242,-522296,-2620861,-3.72534140797488,-0.527216701449388
"48",12940,"Baton Rouge, LA","other",1079764,293951,7204,23736,-43656,4.45500744972419,-1.02018049667047
"49",12980,"Battle Creek, MI","bus",102481,-45762,-695,-6521,-295541,-1.21543028900302,-0.570598649674003
"50",12980,"Battle Creek, MI","other",227966,-37853,-2667,1039,-38027,-0.683460426623759,-1.41997759522031
"51",13020,"Bay City, MI","bus",157614,-6765,-9170,-17370,3484,3.10779418996642,0.0479060717566682
"52",13020,"Bay City, MI","other",1421392,-31285,-2927,-7344,20920,0.566421185882803,0.533785925857641
"53",13140,"Beaumont-Port Arthur, TX","bus",157276,35183,4215,-47427,-74697,-0.395357386356359,-0.0559082591676503
"54",13140,"Beaumont-Port Arthur, TX","other",1730110,-7173,1843,3826,-41117,-1.73815371100988,-1.13329970333045
"55",13380,"Bellingham, WA","bus",3388157,161252,8831,1441126,655404,0.313948286598112,0.0480538876683785
"56",13380,"Bellingham, WA","other",8668354,634074,19016,101532,180754,5.26703320920141,0.369961520700223
"57",13740,"Billings, MT","bus",406015,-68830,393,-142255,99038,-1.93652741772564,0.258193869824784
"58",13740,"Billings, MT","other",1399003,-33415,-3412,-18622,-128812,0.49437368733736,-1.00190517970189
"59",13780,"Binghamton, NY","bus",1597254,-199560,-11485,-589299,-475825,-0.577014599936772,-0.0259703753726067
"60",13780,"Binghamton, NY","other",1615251,-66561,-3186,-5539,-87988,-0.614130397736956,-0.711816413840998
"61",13820,"Birmingham-Hoover, AL","bus",2574988,-66770,-12649,-391739,-149748,0.37885365909893,0.0332408513923997
"62",13820,"Birmingham-Hoover, AL","other",5624978,837222,8097,58891,333042,8.81452667645657,1.3656893684733
"63",13900,"Bismarck, ND","bus",276566,27247,-398,28631,-47479,1.67715671441879,-0.453402981368832
"64",13900,"Bismarck, ND","other",2012067,-79897,-3836,-27885,-402516,-0.544809094882142,-2.11634436417553
"65",13980,"Blacksburg-Christiansburg-Radford, VA","bus",1432883,45345,6807,1216805,1405923,-0.28111401634405,0.128461474138719
"66",13980,"Blacksburg-Christiansburg-Radford, VA","other",589179,88687,9322,18697,23330,-0.281834108267313,0.269511291903431
"67",14010,"Bloomington, IL","bus",816534,254953,16660,1109351,503245,0.319245240958814,-0.0267129850794696
"68",14010,"Bloomington, IL","other",1415306,242406,17960,55640,97803,0.877005631011906,-0.00432514230301506
"69",14020,"Bloomington, IN","bus",868379,97749,14839,1130364,485913,-0.723324632269422,-0.011040950170667
"70",14020,"Bloomington, IN","other",631677,-82763,-3731,-3888,5601,-2.48954392986484,0.337485165487502
"71",14260,"Boise City, ID","bus",463104,109503,7733,323803,292899,-0.0557757560505525,0.0699637396736345
"72",14260,"Boise City, ID","other",1383233,95593,7588,19127,21247,-0.062769436994742,-0.214969931536939
"73",14460,"Boston-Cambridge-Newton, MA-NH","bus",107669689,15213875,450106,12881710,122429337,2.85374109938127,0.650647955993346
"74",14460,"Boston-Cambridge-Newton, MA-NH","other",92029682,7726846,412202,828859,4967345,1.56353672129952,1.39638496402268
"75",14460,"Boston-Cambridge-Newton, MA-NH","rail",81744287,21057716,1418352,4798458,128687749,2.01219886216266,0.531196440342229
"76",14460,"Boston-Cambridge-Newton, MA-NH",NA,247883,-93919,679,28674,3006384,-4.59935744075805,2.1431111610468
"77",14540,"Bowling Green, KY","bus",NA,NA,NA,NA,NA,NA,NA
"78",14740,"Bremerton-Silverdale, WA","bus",-91409,-479173,-7173,-1104305,2208345,-2.72478341024398,1.05292796408583
"79",14740,"Bremerton-Silverdale, WA","other",6860867,-1221763,-53647,-228643,121445,-1.04488463791615,0.750767233243711
"80",14740,"Bremerton-Silverdale, WA",NA,358308,-7126,-627,39395,603557,-0.365520791117541,1.18387902769933
"81",14860,"Bridgeport-Stamford-Norwalk, CT","bus",803296,203412,4046,-21545,173582,2.31224355485593,0.235083436392174
"82",14860,"Bridgeport-Stamford-Norwalk, CT","other",755474,55358,2841,-1446,34285,0.53971724758021,0.556203151236467
"83",15180,"Brownsville-Harlingen, TX","bus",1420277,52128,8454,-445275,-319487,-0.724768148267611,-0.0145400942644399
