5 Digit NTD ID,ntdid,name,Reporter Acronym,Doing Business As,Reporter Status,Reporter Type,Form Module Type,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,City,State,Zip Code,Zip Code Ext,P.O. Box,Region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,Required Reporter,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles
00001,0001,King County Department of Transportation - Metro Transit Division,King County Metro, ,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,201 South Jackson Street,M.S. KSC-TR-0333,Seattle,WA,98104,3856,,10,http://metro.kingcounty.gov/,1731,805622313,"2,134","2,117,125",14,"Seattle, WA",,"3,059,393","3,028","1,010",Y,"2,479",396,"2,875",,
00002,0002,Spokane Transit Authority,STA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,1230 West Boone Avenue,,Spokane,WA,99201,,,10,http://www.spokanetransit.com/,1733,60044575,248,"409,271",96,"Spokane, WA",,"387,847","2,362",164,Y,263,48,311,,
00003,0003,Pierce County Transportation Benefit Area Authority,Pierce Transit,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,"3701 96th Street, S.W.",,Tacoma,WA,98496,70,99070,10,http://www.piercetransit.org/,1730,17850363,292,"557,069",14,"Seattle, WA",,"3,059,393","3,028","1,010",Y,449,58,507,,
00004,0T04,Confederated Tribes of the Colville Indian Reservation,,,Active,Reduced Reporter,Tribe,Tribe, ,,,09/30/2015,1/31/2016,CCT DOT,,Nespelem,WA,99155,,150,10,http://www.colvilletribes.com/,6683,112167510,"2,100","7,587",0,Washington Non-UZA,"Colville Reservation and Off-Reservation Trust Land, WA",0,0,0,,3,,3,,
00005,0005,Everett Transit,ET,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,3225 Cedar Street,,Everett,WA,98201,,,10,http://www.everettwa.org/transit/,1743,155780190,34,"106,736",14,"Seattle, WA",,"3,059,393","3,028","1,010",Y,56,,56,,
00006,0006,Yakima Transit,YT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,2301 Fruitvale Boulevard,,Yakima,WA,98902,1298,,10,http://www.yakimatransit.org/,1750,78212651,33,"100,715",248,"Yakima, WA",,"129,534","2,165",60,Y,39,30,69,,
00007,0007,Lane Transit District,LTD,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,06/30/2015,10/31/2015,3500 East 17th Avenue,,Eugene,OR,97403,,,10,http://www.ltd.org/,1738,60588639,482,"302,200",151,"Eugene, OR",,"247,421","2,852",87,Y,79,246,325,,
00008,0008,Tri-County Metropolitan Transportation District of Oregon,TriMet,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,06/30/2015,10/31/2015,"1800 SW 1st Avenue, Suite 300",,Portland,OR,97201,5354,,10,http://www.trimet.org/,1728,7909096,534,"1,560,803",24,"Portland, OR-WA",,"1,849,898","3,528",524,Y,638,280,918,,
00009,0T09,Kalispel Tribe of Indians,KTI,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,P.O. Box 39,,Usk,WA,99180,39,,10,http://www.kalispeltribe.com/,6680,,0,0,0,Washington Non-UZA,"Kalispel Reservation and Off-Reservation Trust Land, WA",0,0,0,,8,,8,,
00010,0T10,Klamath Tribes,KT,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,P.O. Box 436,,Chiloquin,OR,97624,,436,10,http://www.klamathtribes.org/,6806,161155288,0,0,0,Oregon Non-UZA,"Klamath Reservation, OR",0,0,0,,6,,6,,
00011,0011,Valley Regional Transit,VRT,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,09/30/2015,1/31/2016,700 N East 2nd St.,Suite 100,Meridian,ID,83642,,,10,http://www.valleyregionaltransit.org/,1736,139758973,66,"338,759",108,"Boise City, ID",,"349,684","2,613",134,Y,63,,63,,
00012,0012,Municipality of Anchorage - Public Transportation Department,People Mover,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,"3600 Dr Martin Luther King, Jr Avenue",,Anchorage,AK,99519,6650,196650,10,http://www.peoplemover.org/,1707,76667013,77,"298,908",149,"Anchorage, AK",,"251,243","2,956",85,Y,44,45,89,,
00013,0T13,Orutsararmiut Native Council,ONC,,Active,Reduced Reporter,Tribal Subsidy,Tribe, ,,,09/30/2015,1/31/2016,P.O. Box 927,,Bethel,AK,99559,927,927,10,http://www.nativecouncil.org/,6670,62762976,0,0,0,Alaska Non-UZA,"Bethel ANVSA, AK",0,0,0,,,,,,
00014,0T14,Sitka Tribe of Alaska,STA,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,456 Katlian Street,,Sitka,AK,99835,,,10,www.sitkatribe.org,6669,67348383,0,0,0,Alaska Non-UZA,"Sitka ANVSA, AK",0,0,0,,1,,1,,
00015,0T15,Snoqualmie Indian Tribe,,,Active,Reduced Reporter,Tribe,Tribe, ,,,09/30/2015,1/31/2016,9571 Ethan Wade Way SE,,Snoqualmie,WA,98065,,969,10,http://www.svtbus.org/,6685,963676044,,,0,Washington Non-UZA,"Snoqualmie Reservation, WA",0,0,0,,4,,4,,
