"","NAME","metropolitan.statistical.area.micropolitan.statistical.area","DP02_0086E","DP04_0058PE","DP04_0059PE","DP04_0060PE","DP04_0061PE","DP02_0001E","DP02_0015E","DP04_0006E","DP04_0007E","DP04_0008E","DP04_0009E","DP04_0010E","DP04_0011E","DP04_0012E","DP04_0013E","DP03_0062E","DP02_0092E","DP05_0032PE","DP05_0033PE","DP05_0034PE","DP05_0039PE","DP05_0047PE","DP05_0052PE","DP05_0053PE","DP05_0066PE","DP03_0018E","DP03_0019PE","DP03_0020PE","DP03_0021PE","DP03_0022PE","DP03_0023PE","DP03_0024PE","DP03_0025E","DP03_0026E","DP03_0047PE","DP03_0048PE","DP03_0049PE","DP03_0009PE","DP03_0027PE","DP03_0028PE","DP03_0029PE","DP03_0030PE","DP03_0031PE"
"1","Aberdeen, WA Micro Area","10140",71692,31.5,35.2,27.5,27880,27880,2.45,35230,26547,558,565,697,1136,287,1025,42057,4163,87.4,1.4,4.5,1.9,0.1,2,2.7,9.2,25387,77.3,12.6,1.9,2.1,2.5,3.7,24.8,26333,70.4,23.9,5.6,16.4,22.8,26.9,23.1,9.8,17.4
"2","Abilene, TX Metro Area","10180",167800,35,41.2,18.4,60066,60066,2.59,70553,51306,2094,2006,2219,3413,1869,1913,43407,8656,83.3,7.9,0.3,1.5,0,5,2,21.3,69290,80.3,11.7,1.2,2.6,1.9,2.3,17.8,68183,72.9,19.3,7.1,6.8,29.5,21.4,25.9,12.6,10.6
"3","Adrian, MI Micro Area","10300",98987,31.2,41.9,21.6,37998,37998,2.46,43395,33260,1062,1397,1466,1035,1022,1106,48224,1569,93.2,2.4,0.7,0.3,0,1.1,2.3,7.6,40600,85.2,8.6,0.2,2.8,0.4,2.9,26.5,41879,82.7,12.5,4.6,10.9,30.9,19.9,22.9,9,17.3
"4","Akron, OH Metro Area","10420",702262,35.2,39.4,16.9,280887,280887,2.45,312864,219447,18222,13261,10316,14801,13007,17450,49731,30363,83.1,11.7,0.1,2.1,0,0.2,2.7,1.7,325710,86.1,7.3,1.3,1.6,0.8,3,23.1,333603,83,12.2,4.7,9.6,35.4,17.3,25.7,7.2,14.4
"5","Alamogordo, NM Micro Area","10460",66041,25.4,42,26.4,NA,22769,2.79,31010,20196,829,396,379,637,271,158,40583,5999,74.6,3.7,7.2,1.5,0,8.5,4.5,35.3,23180,74.6,18.4,0.4,2.8,1.6,2.2,19.4,NA,63.3,32.1,4.1,17,NA,NA,NA,NA,NA
"6","Albany, GA Metro Area","10500",155019,39,35.4,16,57699,57699,2.57,65861,39616,1205,6933,3960,4282,1038,1176,34469,3599,44.3,52.6,0.1,1.1,0,0.9,0.9,2.3,58769,79.5,12.7,1,2.9,1.2,2.8,20.7,59583,71.2,23.3,5.4,16.2,30.2,18.9,25.1,9.3,16.4
"7","Albany-Lebanon, OR Micro Area","10540",118360,24.9,40.4,27.6,43905,43905,2.67,48926,31926,1577,2324,2063,1444,1045,1646,43489,4736,92.8,0.6,2,1.2,0,1.1,2.3,8.1,47565,80.1,10.3,0.5,3.2,1.7,4.1,22.9,47928,78.4,14.6,7.1,11.4,26,17.3,23,11.2,22.5
"8","Albany-Schenectady-Troy, NY Metro Area","10580",874646,36.3,37.9,15.7,342705,342705,2.46,394602,224312,14091,53441,32270,20251,14583,22427,60625,60142,84.6,7.6,0.1,3.3,0,1.2,3.2,4.5,422420,79.6,8.1,3.2,4.1,1.4,3.6,22.5,429419,73.6,21.6,4.7,8,40.9,17.3,26,7.5,8.3
"9","Albertville, AL Micro Area","10700",94776,34.5,35.6,24.3,33802,33802,2.77,40356,30479,328,793,719,1435,213,570,36197,6689,90.6,2.1,0.4,0.6,0,4.9,1.3,12.8,36402,80.5,14.3,0.2,0.9,0.8,3.3,23.1,37428,77,16.8,6.2,9.7,28.7,13.1,26.7,9.3,22.2
"10","Albuquerque, NM Metro Area","10740",902794,35.1,37.8,21.1,344869,344869,2.58,377011,251975,17254,5644,17120,12636,16083,25213,46725,84806,70.1,2.7,5.5,1.9,0.1,15.9,3.8,47.4,394926,80.2,10,1.7,1.8,1.9,4.4,23,398325,73.7,20.7,5.5,9,38.8,19.4,23.7,9.9,8.2
"11","Alexandria, LA Metro Area","10780",154441,41.6,37.6,13.4,57277,57277,2.57,65338,45500,1385,2661,1939,1809,1293,924,40896,3000,66.6,29.8,0.7,1.2,0.1,0.2,1.4,3,59281,82.3,10.2,0.8,2.7,2.3,1.7,26.1,60957,72.4,22.2,5,8.7,33.1,21.3,23.5,12.1,10.1
"12","Allegan, MI Micro Area","10880",112039,30,41.3,24.2,42930,42930,2.58,49463,37493,1806,1407,703,1672,583,618,50078,2919,94,1.3,0.5,0.9,0,1.3,1.9,6.9,47378,86.6,7.7,0.1,1.9,0.8,2.9,23.1,48102,84,9.4,6.5,8.5,27.5,17.1,22.6,10.2,22.5
"13","Allentown-Bethlehem-Easton, PA-NJ Metro Area","10900",827171,31.4,38.6,21.2,314173,314173,2.56,343354,191618,70892,16794,16696,13722,10110,15512,55766,72193,84.8,5.3,0.2,2.7,0,4.6,2.4,14.1,385744,82,8.9,1.7,2.7,1,3.8,27.6,394267,84.2,10.9,4.8,8.8,33.8,18.1,24.7,7.7,15.7
"14","Altoona, PA Metro Area","11020",127121,34.7,38,17.9,50098,50098,2.47,56154,39116,2524,2747,2117,2204,1582,2251,41258,1516,96.1,1.2,0.1,0.8,0,0.1,1.7,1,55631,81.4,10.6,0.8,3.7,1.8,1.8,19.2,56844,81.8,13.7,4.2,7.7,29.3,21.3,23.8,8.7,16.9
"15","Amarillo, TX Metro Area","11100",254579,34.4,42.5,18.2,NA,94559,2.6,103729,73026,2561,2513,2187,2259,3103,8839,46434,21973,84.7,5.5,0.7,2.8,0.3,3.1,2.7,26.4,117167,79.5,13.8,0.9,1.7,1.2,2.8,19,119002,77.6,16,6.4,4.2,30.4,18.7,25.7,11.6,13.7
"16","Ames, IA Metro Area","11180",91140,30.4,44.2,19.4,35541,35541,2.32,37250,20277,2208,1052,1937,1963,2726,5659,49489,8300,89,3.2,0.1,5.7,0,0.2,1.9,3.1,47848,70.9,9.8,4.7,7.8,3.2,3.5,17.2,48675,66.8,28.8,4.5,6.8,42.8,18.3,20.1,8.2,10.6
"17","Anchorage, AK Metro Area","11260",392535,33.7,38,23.3,137052,137052,2.8,154965,90801,14546,8718,10662,9236,4902,9005,71494,33071,70.3,5,6.2,7.4,1.6,1.1,8.4,7.2,196275,72.4,13.2,2.1,2.6,4.8,4.9,22.8,194213,71.6,21.5,6.8,7.3,39.1,19.1,22.4,10.6,8.8
"18","Anderson, IN Metro Area","11300",130348,38.6,33.9,19.2,49124,49124,2.51,58864,44685,748,3725,2793,1704,418,1619,42933,2094,87.9,8.4,0,0.5,0,1.5,1.7,3.4,52667,82.1,9.9,0.2,2,2.1,3.7,25.3,53473,81.3,12.5,5.9,12.6,26.7,21,26.6,8.4,17.4
"19","Anderson, SC Metro Area","11340",189355,35.5,36.9,21.6,72363,72363,2.58,84947,58566,1939,1615,1403,3588,1346,1538,39232,5647,80,16.9,0.2,0.8,0,0.7,1.3,3.2,76156,88.6,7.5,0.5,1,0.2,2.3,22.7,77153,82.2,11.8,5.9,11.8,31,14.8,26.2,9.5,18.4
"20","Ann Arbor, MI Metro Area","11460",350946,37.4,37.5,16.8,137565,137565,2.43,147734,83333,9428,4188,6376,16448,11559,11247,56330,38531,74.3,12.3,0.1,8.2,0,1.2,3.8,4.3,168997,72.9,8.2,4.3,6.6,2.4,5.6,22.5,172625,75.3,19.4,5.1,8.2,50.8,17.8,20.1,3.9,7.3
"21","Anniston-Oxford, AL Metro Area","11500",117296,34.4,33.5,26.4,NA,45986,2.49,53311,36840,790,1968,1892,1254,1131,986,39169,2485,75.6,21.4,0.3,0.8,0,0.5,1.5,3.5,45124,84.3,11.8,0.2,1.1,0.8,1.8,22.7,46165,75.9,19.4,4.6,15.4,23.8,16.4,23.9,10.4,25.5
"22","Appleton, WI Metro Area","11540",228450,28.5,45.3,22,87010,87010,2.59,93783,67866,4406,4557,2944,4706,4141,3400,60166,8295,91.9,1.1,1.2,2.9,0,1.4,1.6,3.8,118198,85.5,6.6,0.3,2.2,1.7,3.7,19.4,120365,87.5,8.2,4.2,5,35.5,13.2,24.3,9.7,17.4
"23","Asheville, NC Metro Area","11700",432406,34.2,37.6,21.2,178131,178131,2.37,215173,139739,8035,4423,6797,6746,3943,7194,43172,22064,91.2,4.5,0.2,1,0,0.8,2.3,6.6,189077,79.8,10.8,0.5,2.3,1.1,5.5,21.5,193081,77.5,13.2,9.1,8.5,34.2,20.2,23.3,10.9,11.4
"24","Ashtabula, OH Micro Area","11780",100389,36.2,36.2,19.3,39008,39008,2.48,45928,34888,570,2044,1121,2022,386,1388,36015,1438,93.3,3.5,0.2,0.2,0,0.6,2.3,3.5,39907,83.4,10.1,0.4,2.2,0.6,3.2,23.9,40581,83,12.2,4.7,10.2,21.8,19.5,24.7,9.7,24.3
"25","Athens, TX Micro Area","11980",79094,42.1,38.7,15,29273,29273,2.66,39710,24910,252,223,844,733,455,273,37077,3735,NA,NA,NA,NA,NA,NA,NA,11.6,30656,72,21.6,0,2.2,0.9,3.2,27.4,31060,74.9,12.6,12.4,8.5,23.8,16.5,27,17.2,15.5
"26","Athens-Clarke County, GA Metro Area","12020",194337,33,37.8,22.8,67610,67610,2.71,81771,48494,2062,5507,3111,5023,5413,5239,38028,14134,73.4,20.1,0.3,3,0,1.4,1.8,8.4,84326,80.1,9,1.9,3.8,2.2,3,22.8,85460,72,23.1,4.6,8.2,37.5,20.8,23.6,5.5,12.5
"27","Atlanta-Sandy Springs-Marietta, GA Metro Area","12060",5442113,34.8,39.6,19.4,1923727,1923727,2.78,2175303,1455705,106455,33985,59353,133185,144341,172795,54628,719428,56.1,32.8,0.3,5.1,0,3.6,2.1,10.6,2443090,78,10.5,2.9,1.4,1.2,5.9,30,2499631,81.5,13.1,5.2,11.1,39.3,16.4,25.3,7.8,11.2
"28","Atlantic City-Hammonton, NJ Metro Area","12100",275422,34.2,34.4,15.3,100065,100065,2.69,127361,73186,8772,7766,5801,8359,6026,13943,51191,49040,66.5,16.2,0.2,8,0,6,3.2,17.7,121132,75.6,8.3,7.3,4.6,2.1,2.1,22.7,125961,79,15.7,5.1,14.4,27.8,31.2,24.6,7.2,9.2
"29","Auburn, NY Micro Area","12180",79552,34.4,39.4,16,30354,30354,2.5,36422,24437,627,2968,2249,555,675,1195,50073,2014,92.6,4.2,0.5,0.5,0,0.2,1.9,2.5,33645,82.9,8.9,0.9,2.1,1,4.2,22.2,34344,76.9,17.9,5.2,9.9,29,21.7,25.5,10,13.8
"30","Auburn-Opelika, AL Metro Area","12220",147257,33.9,38.3,23.2,55520,55520,2.56,64408,36424,1681,2114,1128,2619,4630,4705,45043,6194,70.2,22.8,0.3,2.7,0.2,2.3,1.4,3.6,67447,83.4,7.4,0.9,3.3,1.6,3.4,23.3,68181,73.3,23.5,3,6.8,36.9,18.1,24.6,9,11.5
"31","Augusta-Richmond County, GA-SC Metro Area","12260",568161,35,38.5,20.2,204147,204147,2.71,239519,155098,9871,6235,9189,11679,5215,5108,44761,23984,58,36.1,0.3,1.8,0,1.7,2.1,4.8,235029,84.7,10,0.4,1.8,1.6,1.5,23.2,230181,75.9,20.4,3.6,10.4,33.9,18.5,24.6,9.5,13.4
"32","Augusta-Waterville, ME Micro Area","12300",121853,33.9,36.8,19.7,51547,51547,2.3,61205,42072,546,3103,3373,4310,865,1036,46014,2498,95.9,0.3,0.7,0.7,0,0.5,1.8,1.3,53505,78.5,11.1,0.2,3,2.1,5.1,24.6,54744,72.1,19.5,8.3,9.7,36.9,15.6,25.7,11.9,9.9
"33","Austin-Round Rock-San Marcos, TX Metro Area","12420",1834303,35.1,43.9,16.3,665027,665027,2.7,725658,434838,22826,21340,23337,28512,57523,98974,59433,264421,80.2,7.4,0.5,4.9,0,3.9,3,31.9,911277,76,11,2.3,2,2.2,6.4,25.5,927390,75.8,17,7,7.1,43.5,16.5,24.4,8.4,7.2
"34","Bakersfield-Delano, CA Metro Area","12540",856158,32.2,38.5,22.5,255967,255967,3.22,285867,205062,7350,9421,17545,11725,5519,8981,45910,178243,71.5,5.5,1.4,4.7,0.2,13.6,3.1,50.3,311324,77.1,15.3,1,1.7,2.3,2.7,24.2,320071,76,17.6,6,14,25.9,19.2,20.6,19.6,14.8
"35","Baltimore-Towson, MD Metro Area","12580",2753149,32.9,35.6,19.6,1034914,1034914,2.59,1139559,517431,330503,24292,31779,52995,90195,79204,66970,260357,62,28.8,0.3,4.9,0.1,1.5,2.6,4.9,1341551,76.5,8.9,6.5,2.7,1.3,4.1,30,1350792,74.9,20.4,4.6,8.6,44.2,15.9,24.4,7.1,8.4
